45290857.472 37 
45290868.224 25 
45290878.0288 49 
45290888.7552 13 
45314002.816 47 
45314103.8848 71 
45314368.2432 72 
45314400.1792 70 
45314434.0736 9 
45315035.7888 70 
45315435.5584 49 
45315736.0896 72 
45315769.7024 71 
45315802.944 47 
45316402.8672 49 
45319042.1632 71 
45319174.6304 71 
45319305.9968 71 
45319408.2432 71 
45319509.3504 71 
45319640.1408 71 
45319707.8272 71 
45319840.3328 71 
45319907.0464 71 
45320176.704 71 
45320407.0272 71 
45320540.3264 71 
45320674.3808 71 
45320974.9376 71 
45321174.6688 71 
45321241.3312 71 
45321775.4368 71 
45321909.76 71 
45321976.1536 71 
45322075.8784 71 
45322543.7056 70 
45322643.2768 71 
45322844.7616 70 
45323812.0576 47 
45323877.952 70 
45323878.0032 71 
45324179.5584 49 
45327549.0176 71 
45327582.144 47 
45328649.7536 71 
45328717.0048 71 
45329350.4384 72 
45329360.2432 10 
45329373.4272 15 
45329373.504 17 
45329376.704 12 
45329377.3952 2 
45329388.2368 12 
45329388.672 2 
45331853.504 71 
45331953.5616 71 
45332888.2816 71 
45335660.1472 71 
45336158.8096 72 
45336158.9888 49 
45336267.5584 10 
45336534.6816 61 
45339376.1152 62 
45339472.2816 11 
45339971.6352 62 
45339971.6864 61 
45340139.0848 62 
45340307.4304 62 
45350116.5568 62 
45350584.3968 13 
45350617.4208 63 
45350683.9424 21 
45350768.0768 22 
45350774.0928 26 
45350774.144 32 
45351067.584 64 
45351168.0256 65 
45351268.352 23 
45352275.7632 3 
45353434.4704 28 
45357409.6768 65 
45357542.336 66 
45357542.4896 25 
45357576.1152 33 
45357633.8176 34 
45357636.1216 4 
45357636.16 24 
45357636.3648 4 
45357636.3904 24 
45357639.8464 38 
45357639.8976 44 
45357836.7104 67 
45357934.8352 68 
45358001.8304 35 
45358332.9536 69 
45359018.304 5 
45360769.4464 69 
45361872.768 69 
45361940.6208 69 
45362212.9536 69 
45362273.7536 69 
45362439.7696 69 
45362606.2592 69 
45362782.784 40 
45362972.4288 69 
45363138.7136 69 
45363305.5104 69 
45363672.8064 69 
45363739.7504 69 
45364241.4848 69 
45364440.9728 69 
45364639.9872 69 
45364874.688 69 
45365007.6544 69 
45365208.5248 69 
45365342.0672 69 
45365407.6416 69 
45365541.1968 69 
45365841.9328 69 
45365909.3376 69 
45367277.632 69 
45371948.7104 68 
45373083.6608 37 
45373149.8496 69 
45373217.1776 45 
45373318.0032 6 
45373318.0416 36 
45373367.5776 46 
45373371.84 50 
45373371.8784 56 
45373372.0832 6 
45373372.096 36 
45373634.56 70 
45373701.2864 71 
45373800.7808 47 
45374368.4736 72 
45374820.2112 7 
45375436.2752 72 
45375977.9584 52 
45378241.3184 72 
45380208.256 49 
45380241.8944 72 
45380409.3184 8 
45380409.344 48 
45380419.008 10 
45380419.2 8 
45380419.2128 48 
45380421.248 15 
45380421.2864 18 
45380651.6352 61 
45380756.1728 62 
45380855.7312 11 
45383988.9152 62 
45385927.7568 15 
45387159.2832 62 
45387593.2032 62 
45387659.3408 62 
45393135.0016 62 
45393367.9872 61 
45393468.8256 13 
45395459.1104 12 
45395459.6096 2 
45396927.7568 72 
45398363.0464 71 
45398463.5264 47 
45403167.6544 71 
45403670.656 49 
45403835.8656 70 
45404218.7264 69 
45404352.0768 68 
45404418.9312 35 
45406155.0464 69 
45406254.8096 69 
45407557.7984 69 
45409159.4752 37 
45410259.584 35 
45413063.1808 68 
45413195.7248 69 
45413195.9168 37 
45413280.3968 46 
45413582.592 70 
45413749.6576 71 
45413846.4128 47 
45414448.1792 72 
45416885.2992 72 
45416885.7344 49 
45416962.9952 10 
45416963.136 12 
45416963.8272 2 
45417229.4656 61 
45417361.92 62 
45417428.6592 11 
45417593.3056 61 
45426838.912 62 
45427071.4112 63 
45427071.6032 13 
45427188.5824 22 
45427191.1168 26 
45427191.1808 30 
45427589.9136 64 
45427692.1728 65 
45427789.0432 23 
45432804.0192 3 
45434108.416 28 
45434896.9856 65 
45435132.6464 65 
45435933.6192 65 
45436299.008 65 
45438800.8576 65 
45438935.6288 25 
45438968.96 66 
45439093.1328 34 
45439093.4144 4 
45439093.44 24 
45439093.8112 39 
45439093.8496 41 
45439094.0032 4 
45439094.0288 24 
45439394.7904 67 
45439494.912 68 
45439596.7616 35 
45440003.0848 69 
45440003.4816 37 
45440294.2208 69 
45440394.7776 6 
45440394.816 36 
45440478.6816 46 
45440479.1168 50 
