,event_description,timestamp,event_code,restaurant,keyword
0,R1 80% offer,7.8271744000017645,19,1,80_offer
0,SHARP Entry R1,8.0676352000013,61,1,tentry
0,SHARP Accept R1,8.201561599999666,62,1,enter
0,Reject R1,8.219481600001455,12,1,reject
0,Enter R1,8.26812160000205,11,1,enter
0,SHARP Accept R1,9.968844800002874,62,1,enter
0,Quit R1,10.16935680000484,13,1,quit
0,Reject R1,10.347520000003279,12,1,reject
0,R2 20% offer,10.352051200002432,30,2,20_offer
0,SHARP Entry R2,10.648256000004709,64,2,tentry
0,SHARP Accept R2,10.74836480000615,65,2,enter
0,Enter R2,10.879616000004113,23,2,enter
0,SHARP Accept R2,13.4149504000023,65,2,enter
0,Quit R2,15.451238400004804,25,2,quit
0,Reject R2,15.612403200000525,24,2,reject
0,R3 100% offer,15.62080000000447,44,3,100_offer
0,SHARP Entry R3,15.876454400002956,67,3,tentry
0,SHARP Accept R3,16.009190400004385,68,3,enter
0,Enter R3,16.17666560000181,35,3,enter
0,Servo 3 open,17.185382400006056,5,3,servo open
0,R3 reward taken,18.45162240000069,40,3,taken
0,Quit R3,22.083648000001908,37,3,quit
0,Reject R3,22.152627199999987,36,3,reject
0,R4 0% offer,22.207654400005936,53,4,0_offer
0,SHARP Entry R4,22.43582720000297,70,4,tentry
0,SHARP Accept R4,22.535334400005638,71,4,enter
0,Enter R4,22.636300800003113,47,4,enter
0,SHARP Accept R4,26.239718400001525,71,4,enter
0,Quit R4,26.44048640000075,49,4,quit
0,Reject R4,26.541056000001728,48,4,reject
0,R1 20% offer,26.55576319999993,18,1,20_offer
0,SHARP Entry R1,26.82122240000218,61,1,tentry
0,SHARP Accept R1,26.954726400002837,62,1,enter
0,Enter R1,27.056153599999845,11,1,enter
0,SHARP Accept R1,31.893939199998975,62,1,enter
0,Quit R1,32.06101759999991,13,1,quit
0,Reject R1,32.16136960000545,12,1,reject
0,R2 80% offer,32.16998400000483,31,2,80_offer
0,SHARP Entry R2,32.46979839999974,64,2,tentry
0,SHARP Accept R2,32.60346880000085,65,2,enter
0,Enter R2,32.7368832000047,23,2,enter
0,SHARP Accept R2,34.03815680000186,65,2,enter
0,Servo 2 open,35.749401600003246,3,2,servo open
0,SHARP Accept R2,35.840627199999986,65,2,enter
0,R2 reward taken,37.35116800000519,28,2,taken
0,SHARP Accept R2,42.414425599999724,65,2,enter
0,Quit R2,42.682368000000714,25,2,quit
0,Reject R2,42.740467200003565,24,2,reject
0,R3 100% offer,42.74076160000265,44,3,100_offer
0,SHARP Entry R3,43.007065600000324,67,3,tentry
0,SHARP Accept R3,43.14064640000463,68,3,enter
0,Enter R3,43.27326720000058,35,3,enter
0,Servo 3 open,44.28166400000453,5,3,servo open
0,R3 reward taken,45.31447040000558,40,3,taken
0,SHARP Accept R3,51.34908160000295,68,3,enter
0,Quit R3,51.51682560000569,37,3,quit
0,Reject R3,51.61756159999967,36,3,reject
0,R4 20% offer,51.672281600005924,54,4,20_offer
0,SHARP Entry R4,51.935705600000915,70,4,tentry
0,SHARP Accept R4,52.00203519999981,71,4,enter
0,Enter R4,52.13596160000563,47,4,enter
0,SHARP Accept R4,56.0068608000055,71,4,enter
0,Quit R4,56.24491520000249,49,4,quit
0,Reject R4,56.356902400001886,48,4,reject
0,R1 100% offer,56.36048640000075,20,1,100_offer
0,SHARP Entry R1,56.658265600003304,61,1,tentry
0,SHARP Accept R1,56.75838720000535,62,1,enter
0,Enter R1,56.89030400000512,11,1,enter
0,Servo 1 open,57.90504960000515,1,1,servo open
0,SHARP Accept R1,58.49164800000191,62,1,enter
0,Quit R1,64.16581120000035,13,1,quit
0,Reject R1,64.33383680000156,12,1,reject
0,R2 100% offer,64.38065920000523,32,2,100_offer
0,SHARP Entry R2,64.64250879999996,64,2,tentry
0,SHARP Accept R2,64.74144000000507,65,2,enter
0,Enter R2,64.87536640000343,23,2,enter
0,Servo 2 open,65.87756800000369,3,2,servo open
0,R2 reward taken,67.08665600000322,28,2,taken
0,SHARP Accept R2,72.28190720000119,65,2,enter
0,Quit R2,79.89082880000025,25,2,quit
0,Reject R2,80.02538240000605,24,2,reject
0,R3 20% offer,80.05173760000616,42,3,20_offer
0,SHARP Entry R3,80.28262400000543,67,3,tentry
0,SHARP Accept R3,80.3823104000017,68,3,enter
0,Enter R3,80.48229120000452,35,3,enter
0,SHARP Accept R3,83.25194240000098,68,3,enter
0,Servo 3 open,85.491315200001,5,3,servo open
0,SHARP Accept R3,87.39197439999879,68,3,enter
0,R3 reward taken,88.21565440000593,40,3,taken
0,SHARP Accept R3,88.22451200000197,68,3,enter
0,Quit R3,100.20568320000172,37,3,quit
0,Reject R3,100.3062528000027,36,3,reject
0,R4 80% offer,100.32446720000357,55,4,80_offer
0,SHARP Entry R4,100.49044480000437,70,4,tentry
0,SHARP Accept R4,100.52350720000267,71,4,enter
0,Enter R4,100.62458880000561,47,4,enter
0,Servo 4 open,103.63774720000475,7,4,servo open
0,SHARP Accept R4,104.79526400000601,71,4,enter
0,R4 reward taken,105.00674560000003,52,4,taken
0,SHARP Accept R4,105.09559040000289,71,4,enter
0,Quit R4,110.83633920000493,49,4,quit
0,Reject R4,110.96981760000438,48,4,reject
0,R1 100% offer,110.98620160000026,20,1,100_offer
0,SHARP Entry R1,111.28494080000371,61,1,tentry
0,SHARP Accept R1,111.38478079999983,62,1,enter
0,Enter R1,111.48514560000598,11,1,enter
0,Servo 1 open,112.4869376000017,1,1,servo open
0,Quit R1,119.69408000000566,13,1,quit
0,Reject R1,119.79366400000453,12,1,reject
0,R2 20% offer,119.80431360000372,30,2,20_offer
0,SHARP Entry R2,120.03723520000278,64,2,tentry
0,SHARP Accept R2,120.13713920000195,65,2,enter
0,Enter R2,120.26979839999974,23,2,enter
0,SHARP Accept R2,122.53893120000511,65,2,enter
0,R2 no-reward tone,125.27214079999924,27,2,noreward
0,Quit R2,125.37570560000091,25,2,quit
0,Reject R2,125.50969600000232,24,2,reject
0,R3 20% offer,125.53542400000245,42,3,20_offer
0,SHARP Entry R3,125.83534080000221,67,3,tentry
0,SHARP Accept R3,125.93473279999941,68,3,enter
0,Enter R3,126.10211840000004,35,3,enter
0,Quit R3,130.10543360000105,37,3,quit
0,Reject R3,131.90845440000297,36,3,reject
0,R4 100% offer,131.9615360000059,56,4,100_offer
0,SHARP Entry R4,132.15942400000245,70,4,tentry
