,event_description,timestamp,event_code,restaurant
0,SHARP Entry R4,229.4443519999981,70,4
0,Quit R4,232.81378559999914,49,4
0,Mouse in offer zone 1,233.0209919999987,10,1
0,R1 reward tone,233.07665919999778,14,1
0,R1 80% offer,233.08400639999658,19,1
0,Reject R1,233.21507840000092,12,1
0,Servo 1 closed,233.2160895999968,2,1
0,SHARP Entry R1,233.51729919999838,61,1
0,SHARP Accept R1,233.7190527999997,62,1
0,Enter R1,233.85049599999934,11,1
0,SHARP Entry R1,237.62251519999654,61,1
0,SHARP Accept R1,237.68991999999434,62,1
0,SHARP Entry R1,237.98977279999852,61,1
0,SHARP Entry R1,238.0900991999954,61,1
0,SHARP Accept R1,238.52208639999478,62,1
0,SHARP Entry R1,238.62210559999943,61,1
0,SHARP Entry R1,240.52579839999973,61,1
0,SHARP Entry R1,240.62466559999436,61,1
0,SHARP Entry R1,241.22551039999723,61,1
0,SHARP Entry R1,241.3931391999945,61,1
0,SHARP Entry R1,242.9277567999959,61,1
0,SHARP Accept R1,245.4296704000011,62,1
0,SHARP Accept R1,245.69767679999768,62,1
0,SHARP Accept R1,246.06485759999603,62,1
0,SHARP Accept R1,247.26551039999723,62,1
0,SHARP Accept R1,247.7005824000016,62,1
0,SHARP Accept R1,248.00076799999923,62,1
0,SHARP Accept R1,249.06961919999867,62,1
0,SHARP Accept R1,249.36820479999483,62,1
0,SHARP Entry R1,250.0029695999995,61,1
0,SHARP Entry R1,250.10248959999532,61,1
0,SHARP Entry R1,250.20285440000146,61,1
0,SHARP Entry R1,250.6397439999953,61,1
0,SHARP Accept R1,251.30435839999467,62,1
0,Quit R1,252.97409279999883,13,1
0,SHARP Exit R1,253.00613120000065,63,1
0,Mouse in hall 2,253.07383039999752,21,2
0,Mouse in offer zone 2,253.230169599995,22,2
0,Reject R1,253.2340991999954,12,1
0,Servo 1 closed,253.23463679999858,2,1
0,R2 no-reward tone,253.24089599999786,27,2
0,R2 20% offer,253.24096000000088,30,2
0,SHARP Entry R2,253.89730559999495,64,2
0,SHARP Accept R2,254.16391679999978,65,2
0,SHARP Entry R2,254.5982719999999,64,2
0,Enter R2,254.6646400000006,23,2
0,SHARP Accept R2,255.4989824000001,65,2
0,R2 no-reward tone,259.7310591999963,27,2
0,SHARP Accept R2,264.70956799999624,65,2
0,SHARP Accept R2,266.7787008000016,65,2
0,SHARP Accept R2,268.9479679999948,65,2
0,Quit R2,269.71587839999796,25,2
0,SHARP Entry R2,270.3512448000014,64,2
0,Servo 2 closed,271.161484799996,4,2
0,Reject R2,271.1615231999978,24,2
0,Mouse in hall 2,271.1615615999997,21,2
0,SHARP Exit R1,271.22789119999857,63,1
0,SHARP Entry R1,271.260684799999,61,1
0,SHARP Entry R1,271.39293439999966,61,1
0,Mouse in offer zone 1,271.3932287999988,10,1
0,SHARP Accept R1,271.4270463999957,62,1
0,SHARP Entry R1,271.5936255999953,61,1
0,Enter R1,271.62713599999995,11,1
0,SHARP Entry R1,271.7603200000003,61,1
0,SHARP Entry R1,274.1625471999943,61,1
0,SHARP Entry R1,284.408051199995,61,1
0,SHARP Entry R1,302.6287232000008,61,1
0,SHARP Entry R1,302.861824000001,61,1
0,SHARP Entry R1,303.09680640000107,61,1
0,SHARP Entry R1,303.9976832000017,61,1
0,SHARP Entry R1,309.93912319999936,61,1
0,SHARP Entry R1,310.5709695999995,61,1
0,SHARP Accept R1,310.9044351999983,62,1
0,SHARP Entry R1,310.90447360000013,61,1
0,SHARP Entry R1,310.9712767999992,61,1
0,SHARP Entry R1,311.23845120000095,61,1
0,SHARP Entry R1,312.4737280000001,61,1
0,SHARP Entry R1,312.8069376000017,61,1
0,SHARP Entry R1,312.97415679999443,61,1
0,SHARP Entry R1,313.1408768000007,61,1
0,SHARP Entry R1,313.34118400000034,61,1
0,SHARP Entry R1,313.50777600000055,61,1
0,SHARP Entry R1,313.6077695999965,61,1
0,SHARP Entry R1,313.77455359999834,61,1
0,SHARP Entry R1,313.94178559999915,61,1
0,SHARP Entry R1,314.0091008000001,61,1
0,SHARP Entry R1,314.47534079999474,61,1
0,SHARP Entry R1,315.1763711999953,61,1
0,SHARP Entry R1,315.6766463999972,61,1
0,SHARP Entry R1,315.87888639999926,61,1
0,SHARP Entry R1,316.4782591999993,61,1
0,SHARP Entry R1,318.2463615999967,61,1
0,SHARP Entry R1,319.2482047999948,61,1
0,SHARP Entry R1,319.4157439999953,61,1
0,SHARP Entry R1,319.61547519999743,61,1
0,SHARP Entry R1,319.8883328000009,61,1
0,SHARP Entry R1,319.94905600000175,61,1
0,SHARP Entry R1,326.7576576000005,61,1
0,SHARP Entry R1,326.85649920000134,61,1
0,SHARP Entry R1,326.9227647999972,61,1
0,SHARP Entry R1,327.12299520000073,61,1
0,SHARP Entry R1,327.2570239999965,61,1
0,SHARP Entry R1,327.49087999999523,61,1
0,SHARP Entry R1,327.89118719999493,61,1
0,SHARP Entry R1,327.990796799995,61,1
0,SHARP Entry R1,328.2238079999983,61,1
0,SHARP Entry R1,328.3245439999998,61,1
0,SHARP Entry R1,328.42524159999937,61,1
0,SHARP Entry R1,328.49196799999476,61,1
0,SHARP Entry R1,330.05986559999735,61,1
