trial_index,tone_onset,tone_prob,restaurant,T_Entry,choice,accept,outcome,reward,quit,collection,trial_end,exit,lapIndex,blockIndex,comment
0,13.070476799994706,100,1,13.414310399994253,13.580454399995507,1,14.72245759999752,1,,,15.552499199993909,19.52035839999467,0,0,rewarded but pellet not taken
1,,,2,,,0,,0,,,,21.618227199994028,0,1,
2,,,4,,,0,,0,,,,22.91623680000007,0,1,
3,,,3,,,0,,0,,,,26.920537599995733,0,1,
4,,,1,,,0,,0,,,,44.581990399993956,0,1,
5,,,4,,,0,,0,,,,39.13158399999887,0,1,
6,,,3,,,0,,0,,,,37.56903679999709,0,1,
7,,,4,,,0,,0,,,,44.704486400000754,0,1,
8,,,2,,,0,,0,,,,52.25571839999407,0,1,
9,,,3,,,0,,0,,,,59.75788799999654,0,1,
10,,,4,,,0,,0,,,,67.63082239999622,0,1,
11,,,1,,,0,,0,,,,78.85419519999623,0,1,
12,80.52488959999383,80,2,80.94978559999913,81.05089279999584,1,84.27993599999697,1,,85.44258559999615,85.44258559999615,95.99956479999423,0,2,"accepted, waited, rewarded, and collected"
13,96.00559359999747,80,3,96.30022399999946,96.40052479999513,1,99.57450239999592,1,,100.77957119999826,100.77957119999826,111.98826239999384,0,2,"accepted, waited, rewarded, and collected"
14,112.06690559999645,20,4,112.31770879999549,112.4176767999977,1,,0,112.94883839999885,,112.94883839999885,113.16293119999766,0,2,animal accepted but quit before outcome revealed
15,113.16383999999613,100,1,113.3929472000003,113.56003839999437,1,114.73269759999961,1,,,127.21090559999645,127.31256319999694,1,2,rewarded but pellet not taken
16,127.34050559999794,20,2,127.6053247999996,127.70438399999588,1,,0,131.11125759999453,,131.11125759999453,131.18120959999413,1,2,animal accepted but quit before outcome revealed
17,131.182169599995,20,3,131.4754943999946,131.57729279999435,1,,0,133.20750079999863,,133.20750079999863,135.31116799999774,1,2,animal accepted but quit before outcome revealed
18,133.37544959999622,0,4,133.6384639999941,133.70510080000014,1,,0,134.23984640000015,,134.23984640000015,134.714854399994,1,2,animal accepted but quit before outcome revealed
19,,,2,,,0,,0,,,,142.2860927999988,0,3,
20,,,1,,,0,,0,,,,146.73323519999533,0,3,
21,,,4,,,0,,0,,,,153.64024319999666,0,3,
22,153.6424319999963,80,1,153.97242879999428,154.10817279999702,1,157.2213247999996,0,,,157.2213247999996,162.38247679999472,0,4,"accepted, waited, no-reward"
23,162.41189119999856,100,2,162.74259200000017,162.84322559999674,1,163.9780863999948,1,,165.0633599999994,165.0633599999994,171.8930047999993,0,4,"accepted, waited, rewarded, and collected"
24,171.8937215999961,20,3,172.25603839999437,172.3571071999967,1,,0,176.76172800000012,,176.76172800000012,178.42686719999463,0,4,animal accepted but quit before outcome revealed
25,176.88814079999923,0,4,177.18764799999445,177.25455359999836,1,,0,177.8217215999961,,177.8217215999961,178.22759679999947,0,4,animal accepted but quit before outcome revealed
26,,,2,,,0,,0,,,,183.60044799999892,0,5,
27,,,1,,,0,,0,,,,186.67722239999472,0,5,
28,,,2,,,0,,0,,,,194.95032319999487,0,5,
29,,,4,,,0,,0,,,,201.81953279999644,0,5,
30,,,3,,,0,,0,,,,200.95147519999742,0,5,
31,202.0613504000008,0,1,202.42758399999886,202.5621247999966,1,,0,204.86382079999893,,204.86382079999893,204.9314047999978,0,6,animal accepted but quit before outcome revealed
32,204.95893759999424,80,2,205.2589824000001,205.3258367999941,1,208.4621567999944,0,,,208.4621567999944,213.77305599999428,0,6,"accepted, waited, no-reward"
33,213.9137023999989,0,3,214.30087680000068,214.43353599999844,1,,0,219.84012799999863,,219.84012799999863,227.58325759999454,0,6,animal accepted but quit before outcome revealed
34,227.75262719999998,100,4,228.61249279999734,228.714739199996,1,,0,229.71444479999693,,229.71444479999693,237.5350399999991,0,6,animal accepted but quit before outcome revealed
35,237.53578239999712,20,1,237.7703295999989,237.87450879999994,1,,0,238.27185920000076,,238.27185920000076,238.27185920000076,1,6,animal accepted but quit but quit wasnot timestamped
36,238.30105599999428,80,2,238.63148799999803,238.797427199997,1,242.94051839999855,1,,,243.1403647999987,243.64117759999633,1,6,rewarded but pellet not taken
37,243.64207359999418,80,3,244.06808320000022,244.20221440000088,1,247.3428223999962,1,,248.8140415999964,248.8140415999964,264.5594111999944,1,6,"accepted, waited, rewarded, and collected"
38,260.7506943999976,100,4,261.1842431999967,261.350054399997,1,,0,262.0504831999987,,262.0504831999987,279.00359679999946,1,6,animal accepted but quit before outcome revealed
39,,,2,,,0,,0,,,,276.0058239999935,0,7,
40,,,3,,,0,,0,,,,278.40784640000015,0,7,
