,event_description,timestamp,event_code,restaurant,keyword
0,Quit R4,27.564159999996424,49,4,quit
0,R1 20% offer,27.657087999999522,18,1,20_offer
0,SHARP Entry R1,27.837977600000798,61,1,tentry
0,SHARP Accept R1,27.971302400000393,62,1,enter
0,Enter R1,28.072575999997557,11,1,enter
0,SHARP Accept R1,30.844416000001132,62,1,enter
0,Quit R1,31.041254399999975,13,1,quit
0,Reject R1,31.17543680000305,12,1,reject
0,R2 100% offer,31.212390399999915,32,2,100_offer
0,SHARP Entry R2,31.431615999996662,64,2,tentry
0,SHARP Accept R2,31.532403200000523,65,2,enter
0,SHARP Entry R2,31.632806400001048,64,2,tentry
0,Enter R2,31.63302399999648,23,2,enter
0,Servo 2 open,32.64252160000056,3,2,servo open
0,R2 reward taken,33.74055680000037,28,2,taken
0,SHARP Accept R2,39.00806400000304,65,2,enter
0,Quit R2,39.87889919999987,25,2,quit
0,Reject R2,40.01713920000196,24,2,reject
0,R3 100% offer,40.02618879999965,44,3,100_offer
0,SHARP Entry R3,40.28134399999678,67,3,tentry
0,SHARP Accept R3,40.38301439999789,68,3,enter
0,Enter R3,40.48096000000089,35,3,enter
0,Servo 3 open,41.49039360000193,5,3,servo open
0,R3 reward taken,42.59685119999945,40,3,taken
0,SHARP Accept R3,44.7490047999993,68,3,enter
0,Quit R3,49.88911360000074,37,3,quit
0,Reject R3,50.558438400000334,36,3,reject
0,R4 0% offer,50.72578559999913,53,4,0_offer
0,SHARP Entry R4,51.5209600000009,70,4,tentry
0,Reject R4,52.923980800002816,48,4,reject
0,R1 20% offer,52.93451519999653,18,1,20_offer
0,SHARP Entry R1,53.200832000002265,61,1,tentry
0,SHARP Accept R1,53.2999552000016,62,1,enter
0,Enter R1,53.401036799997094,11,1,enter
0,R1 no-reward tone,58.41766399999708,15,1,noreward
0,SHARP Accept R1,60.54159359999746,62,1,enter
0,Reject R1,61.4437247999981,12,1,reject
0,Quit R1,61.847244800001384,13,1,quit
0,Enter R1,61.87988480000198,11,1,enter
0,Reject R1,63.11289599999785,12,1,reject
0,SHARP Accept R1,63.44592639999836,62,1,enter
0,Quit R1,64.38027520000189,13,1,quit
0,R2 80% offer,64.60856319999695,31,2,80_offer
0,SHARP Entry R2,64.90289919999987,64,2,tentry
0,SHARP Accept R2,65.00389119999856,65,2,enter
0,Enter R2,65.10455039999634,23,2,enter
0,Servo 2 open,68.10734080000222,3,2,servo open
0,R2 reward taken,69.19041279999912,28,2,taken
0,SHARP Accept R2,71.2440319999978,65,2,enter
0,Quit R2,73.72023040000349,25,2,quit
0,Reject R2,73.88241920000314,24,2,reject
0,R3 80% offer,73.8862976000011,43,3,80_offer
0,SHARP Entry R3,74.75078400000184,67,3,tentry
0,SHARP Accept R3,75.08479999999702,68,3,enter
0,Enter R3,75.2173056000024,35,3,enter
0,Servo 3 open,78.21943039999903,5,3,servo open
0,R3 reward taken,79.21433600000292,40,3,taken
0,SHARP Accept R3,83.42703360000253,68,3,enter
0,Quit R3,87.89990399999917,37,3,quit
0,SHARP Entry R3,87.99906560000032,67,3,tentry
0,Reject R3,89.03183359999954,36,3,reject
0,Reject R2,73.88646400000155,24,2,reject
0,SHARP Accept R2,89.33263359999657,65,2,enter
0,Enter R2,89.43130879999697,23,2,enter
0,SHARP Accept R2,90.99985920000076,65,2,enter
0,Quit R2,94.30360320000351,25,2,quit
0,SHARP Accept R2,97.64115200000256,65,2,enter
0,Reject R3,98.67801600000263,36,3,reject
0,SHARP Entry R3,100.78010880000144,67,3,tentry
0,SHARP Accept R3,101.44714239999652,68,3,enter
0,SHARP Entry R3,105.68564479999989,67,3,tentry
0,R4 80% offer,106.6535680000037,55,4,80_offer
0,SHARP Entry R4,111.4890367999971,70,4,tentry
0,Reject R4,112.29021440000086,48,4,reject
0,R1 100% offer,112.90622720000148,20,1,100_offer
0,SHARP Entry R1,114.97020160000027,61,1,tentry
0,SHARP Accept R1,115.5382528000027,62,1,enter
0,SHARP Entry R1,115.87107840000093,61,1,tentry
0,Enter R1,116.00464639999717,11,1,enter
0,Quit R1,116.34159359999747,13,1,quit
0,Enter R1,116.90562560000271,11,1,enter
0,Quit R1,117.10629119999707,13,1,quit
0,Enter R1,117.27319039999693,11,1,enter
0,Quit R1,117.50675199999661,13,1,quit
0,SHARP Entry R1,118.27411200000346,61,1,tentry
0,Reject R1,119.59770880000293,12,1,reject
0,SHARP Accept R4,120.23188480000198,71,4,enter
0,Enter R4,120.66513920000196,47,4,enter
0,SHARP Accept R4,123.80250879999996,71,4,enter
0,Quit R4,124.06937600000202,49,4,quit
0,SHARP Entry R1,124.41424639999866,61,1,tentry
0,SHARP Accept R1,124.54753279999643,62,1,enter
0,Enter R1,124.61497600000352,11,1,enter
0,SHARP Entry R1,124.9149824000001,61,1,tentry
0,SHARP Accept R1,125.21516799999773,62,1,enter
0,SHARP Entry R1,125.24857599999756,61,1,tentry
0,SHARP Accept R1,125.34910719999671,62,1,enter
0,SHARP Entry R1,125.51571199999749,61,1,tentry
0,SHARP Accept R1,125.54890240000188,62,1,enter
0,SHARP Entry R1,125.74946559999883,61,1,tentry
0,SHARP Accept R1,126.14990079999716,62,1,enter
0,SHARP Entry R1,126.31673600000143,61,1,tentry
0,SHARP Accept R1,126.35039999999852,62,1,enter
0,Quit R1,130.72124159999936,13,1,quit
0,Reject R1,131.21592319999635,12,1,reject
0,R2 80% offer,131.215884800002,31,2,80_offer
0,SHARP Entry R2,131.7800447999984,64,2,tentry
0,SHARP Accept R2,131.87984640000016,65,2,enter
0,Enter R2,131.9799808000028,23,2,enter
0,R2 no-reward tone,134.99105279999972,27,2,noreward
0,Reject R2,136.61986559999735,24,2,reject
0,SHARP Accept R2,137.48846079999953,65,2,enter
0,Quit R2,137.62227199999987,25,2,quit
0,R3 0% offer,137.7591423999965,41,3,0_offer
0,SHARP Entry R3,138.12326399999856,67,3,tentry
0,SHARP Accept R3,138.22314239999653,68,3,enter
0,Enter R3,138.32336640000344,35,3,enter
0,Quit R3,140.29245440000295,37,3,quit
0,Reject R3,141.1936767999977,36,3,reject
0,SHARP Accept R3,146.36490240000188,68,3,enter
0,Enter R3,146.3650304000005,35,3,enter
0,Quit R3,146.4650495999977,37,3,quit
0,SHARP Entry R3,146.89911039999873,67,3,tentry
0,SHARP Accept R3,148.5673471999988,68,3,enter
0,Enter R3,148.70113279999794,35,3,enter
0,SHARP Entry R3,148.7342591999993,67,3,tentry
0,Quit R3,149.8029952000007,37,3,quit
0,SHARP Accept R3,151.3043200000003,68,3,enter
0,Enter R3,151.30449920000135,35,3,enter
0,Quit R3,151.47472640000285,37,3,quit
0,R4 0% offer,151.80177920000256,53,4,0_offer
0,SHARP Entry R4,152.6366080000028,70,4,tentry
0,Reject R4,153.00327679999918,48,4,reject
0,R1 20% offer,153.01469439999758,18,1,20_offer
0,SHARP Entry R1,153.31775999999792,61,1,tentry
0,SHARP Accept R1,153.44893439999967,62,1,enter
0,Enter R1,153.54927359999715,11,1,enter
0,SHARP Entry R1,153.88111360000073,61,1,tentry
0,SHARP Accept R1,155.45094399999826,62,1,enter
0,Reject R1,155.65207039999962,12,1,reject
0,Quit R1,155.74995199999958,13,1,quit
0,Enter R1,155.81720319999755,11,1,enter
