trial_index,tone_onset,tone_prob,restaurant,T_Entry,choice,accept,outcome,reward,quit,collection,trial_end,exit,lapIndex,blockIndex,comment
0,,,4,,,0,,0,,,,27.564159999996424,0,0,
1,27.657087999999522,20,1,27.837977600000798,27.971302400000393,1,,0,31.041254399999975,,31.041254399999975,31.17543680000305,0,1,animal accepted but quit before outcome revealed
2,31.212390399999915,100,2,31.431615999996662,31.532403200000523,1,32.64252160000056,1,,33.74055680000037,33.74055680000037,40.01713920000196,0,1,"accepted, waited, rewarded, and collected"
3,40.02618879999965,100,3,40.28134399999678,40.38301439999789,1,41.49039360000193,1,,42.59685119999945,42.59685119999945,50.558438400000334,0,1,"accepted, waited, rewarded, and collected"
4,50.72578559999913,0,4,51.5209600000009,52.923980800002816,0,,0,,,52.923980800002816,52.923980800002816,0,1,entered T junction then rejected and moved on
5,52.93451519999653,20,1,53.200832000002265,53.2999552000016,1,58.41766399999708,0,,,58.41766399999708,64.38027520000189,1,1,"accepted, waited, no-reward"
6,64.60856319999695,80,2,64.90289919999987,65.00389119999856,1,68.10734080000222,1,,69.19041279999912,69.19041279999912,73.88241920000314,1,1,"accepted, waited, rewarded, and collected"
7,73.8862976000011,80,3,74.75078400000184,75.08479999999702,1,78.21943039999903,1,,79.21433600000292,79.21433600000292,89.03183359999954,1,1,"accepted, waited, rewarded, and collected"
8,,,2,,,0,,0,,,,97.64115200000256,0,2,
9,,,3,,,0,,0,,,,105.68564479999989,0,2,
10,106.6535680000037,80,4,111.4890367999971,112.29021440000086,0,,0,,,112.29021440000086,112.29021440000086,0,3,entered T junction then rejected and moved on
11,112.90622720000148,100,1,114.97020160000027,115.5382528000027,1,,0,116.34159359999747,,116.34159359999747,119.59770880000293,1,3,animal accepted but quit before outcome revealed
12,,,4,,,0,,0,,,,124.06937600000202,0,4,
13,,,1,,,0,,0,,,,131.21592319999635,0,4,
14,131.215884800002,80,2,131.7800447999984,131.87984640000016,1,134.99105279999972,0,,,134.99105279999972,137.62227199999987,0,5,"accepted, waited, no-reward"
15,137.7591423999965,0,3,138.12326399999856,138.22314239999653,1,,0,140.29245440000295,,140.29245440000295,151.47472640000285,0,5,animal accepted but quit before outcome revealed
16,151.80177920000256,0,4,152.6366080000028,153.00327679999918,0,,0,,,153.00327679999918,153.00327679999918,0,5,entered T junction then rejected and moved on
17,153.01469439999758,20,1,153.31775999999792,153.44893439999967,1,,0,155.74995199999958,,155.74995199999958,160.8587647999972,1,5,animal accepted but quit before outcome revealed
18,161.18053119999917,80,2,161.47983359999955,161.58936320000143,1,164.667200000003,1,,165.69281279999763,165.69281279999763,170.5247871999964,1,5,"accepted, waited, rewarded, and collected"
19,170.5266048000008,80,3,170.82679039999843,170.92901120000332,1,174.04592639999836,1,,175.0529408000037,175.0529408000037,180.07129599999635,1,5,"accepted, waited, rewarded, and collected"
20,180.1342976000011,80,4,180.6669952000007,181.03470080000162,0,,0,,,181.03470080000162,181.03470080000162,1,5,entered T junction then rejected and moved on
21,181.0466943999976,20,1,181.38123520000278,181.5145856000036,1,,0,182.51509759999811,,182.51509759999811,182.9477119999975,2,5,animal accepted but quit before outcome revealed
22,182.97643519999832,80,2,183.31130879999697,183.41091839999706,1,186.5150719999969,1,,187.51854079999774,187.51854079999774,194.61843200000376,2,5,"accepted, waited, rewarded, and collected"
23,,,1,,,0,,0,,,,206.90839039999992,0,6,
24,,,4,,,0,,0,,,,211.70191359999777,0,6,
25,221.25144319999964,0,3,221.61840640000253,221.91967999999972,0,,0,,,221.91967999999972,221.91967999999972,0,7,entered T junction then rejected and moved on
26,,,1,,,0,,0,,,,219.42318079999833,0,8,
27,,,2,,,0,,0,,,,220.78109440000355,0,8,
28,221.98127359999717,80,4,222.51421440000087,223.58424319999665,0,,0,,,223.58424319999665,223.58424319999665,0,9,entered T junction then rejected and moved on
29,238.47148799999803,0,3,,,0,,0,,,,238.47148799999803,0,0,
30,223.59683839999883,0,1,224.09669120000302,224.26132479999958,1,,0,225.72942080000044,,225.72942080000044,226.4643967999965,0,9,animal accepted but quit before outcome revealed
31,226.72280319999902,80,2,227.0216576000005,227.12290559999644,1,230.23640320000052,1,,231.10755839999766,231.10755839999766,238.47112960000337,0,9,"accepted, waited, rewarded, and collected"
32,,,3,,,0,,0,,,,241.54065919999778,0,10,
33,241.7360128000006,100,4,242.07018240000306,243.27183359999955,1,,0,244.20632320000232,,244.20632320000232,244.20632320000232,0,11,animal accepted but quit but quit wasnot timestamped
34,244.21824000000208,20,1,244.55132159999758,244.68619520000368,1,249.9633024000004,0,,,249.9633024000004,258.6673024000004,1,11,"accepted, waited, no-reward"
35,258.89249279999734,80,2,259.2247295999974,259.32527359999716,1,262.3963391999975,0,,,262.3963391999975,268.3382656000033,1,11,"accepted, waited, no-reward"
36,268.3379839999974,20,3,268.6386048000008,268.73784319999817,1,,0,269.97361919999867,,269.97361919999867,270.94129919999835,1,11,animal accepted but quit before outcome revealed
37,271.00293119999765,20,4,271.3711872000024,271.7053056000024,0,,0,,,271.7053056000024,271.7053056000024,1,11,entered T junction then rejected and moved on
38,271.7196543999985,20,1,272.1154047999978,272.24883200000227,1,277.35221760000286,0,,,277.35221760000286,279.1910271999985,2,11,"accepted, waited, no-reward"
39,279.21638400000336,20,2,279.5820799999982,279.68239360000194,1,,0,280.18287359999863,,280.18287359999863,280.18287359999863,2,11,animal accepted but quit but quit wasnot timestamped
40,280.18525439999996,0,3,280.48432639999686,280.9852800000012,1,,0,281.3205759999976,,281.3205759999976,281.3205759999976,2,11,animal accepted but quit but quit wasnot timestamped
41,281.38119680000096,80,4,281.78086400000007,282.31584000000356,0,,0,,,282.31584000000356,282.31584000000356,2,11,entered T junction then rejected and moved on
42,282.3283712000027,0,1,282.66097919999805,283.0965503999963,0,,0,,,283.0965503999963,283.0965503999963,3,11,entered T junction then rejected and moved on
43,283.2215680000037,100,2,283.6526463999972,283.72046079999956,1,284.8376960000023,1,,285.7904640000016,285.7904640000016,294.36764159999785,3,11,"accepted, waited, rewarded, and collected"
44,294.3680768000036,80,3,294.66743039999903,294.76738560000064,1,297.8698624000028,1,,298.86150400000065,298.86150400000065,313.1890432000011,3,11,"accepted, waited, rewarded, and collected"
45,313.2169472000003,80,4,314.1199231999964,315.58629119999705,0,,0,,,315.58629119999705,315.58629119999705,3,11,entered T junction then rejected and moved on
46,315.6665344000012,20,1,,316.9337727999985,0,,0,,,316.9337727999985,316.9337727999985,4,11,rejected offer but t junction entry not detected
47,,,4,,,0,,0,,,,320.7936128000021,0,12,
48,,,3,,,0,,0,,,,325.4696319999993,0,12,
49,,,4,,,0,,0,,,,349.9921407999992,0,12,
50,,,3,,,0,,0,,,,348.7625088,0,12,
51,,,1,,,0,,0,,,,354.84455680000036,0,12,
52,354.9377792000025,100,2,355.2343423999995,355.3016447999999,1,356.36953599999845,1,,357.46411519999805,357.46411519999805,364.012684799999,0,13,"accepted, waited, rewarded, and collected"
53,364.01413120000063,80,3,364.2823423999995,364.38691839999706,1,367.4610047999993,1,,368.601945600003,368.601945600003,375.39352319999784,0,13,"accepted, waited, rewarded, and collected"
54,375.422054399997,80,4,375.7876352000013,376.42268159999696,0,,0,,,376.42268159999696,376.42268159999696,0,13,entered T junction then rejected and moved on
55,376.43512319999934,100,1,376.7344255999997,376.86794240000097,1,377.9771903999969,1,,379.15425280000267,379.15425280000267,383.97758720000087,1,13,"accepted, waited, rewarded, and collected"
56,384.03527679999917,20,2,384.33511680000277,384.43516160000115,1,,0,386.7705600000024,,386.7705600000024,387.0058240000009,1,13,animal accepted but quit before outcome revealed
57,387.0079743999988,80,3,387.34108160000295,387.47512319999936,1,390.55582720000297,1,,391.5745024000034,391.5745024000034,394.3478400000036,1,13,"accepted, waited, rewarded, and collected"
58,394.37575680000333,0,4,394.876684799999,395.2763775999993,0,,0,,,395.2763775999993,395.2763775999993,1,13,entered T junction then rejected and moved on
59,395.2900223999992,20,1,395.59010559999945,395.72700159999727,1,,0,399.4269695999995,,399.4269695999995,425.18988799999653,2,13,animal accepted but quit before outcome revealed
60,425.34823680000005,80,2,425.6813823999986,425.78097919999806,1,428.88340479999783,0,,,428.88340479999783,436.0297983999997,2,13,"accepted, waited, no-reward"
61,436.2002943999991,0,3,436.46288639999926,436.6299904000014,1,,0,436.9636991999969,,436.9636991999969,436.9636991999969,2,13,animal accepted but quit but quit wasnot timestamped
62,436.9910784000009,20,4,437.2565376000032,437.32408320000025,1,,0,437.6913536000028,,437.6913536000028,437.6913536000028,2,13,animal accepted but quit but quit wasnot timestamped
63,437.7052031999975,80,1,438.0049663999975,438.1042815999985,1,441.2815744000003,1,,442.3529984000027,442.3529984000027,445.61309440000355,3,13,"accepted, waited, rewarded, and collected"
64,445.6383615999967,80,2,445.93820160000024,446.00441600000113,1,449.1082368000001,1,,450.28771840000155,450.28771840000155,452.78095359999685,3,13,"accepted, waited, rewarded, and collected"
65,452.78172160000355,20,3,453.0486143999994,453.38319359999895,0,,0,,,453.38319359999895,453.38319359999895,3,13,entered T junction then rejected and moved on
66,453.4425344000012,100,4,453.7091199999973,453.8422783999965,1,,0,454.5782528000027,,454.5782528000027,454.5782528000027,3,13,animal accepted but quit but quit wasnot timestamped
67,454.62403840000184,0,1,454.9234431999996,455.0582656000033,1,,0,455.82488319999726,,455.82488319999726,459.7631744000018,4,13,animal accepted but quit before outcome revealed
68,459.78818559999763,20,2,460.086681599997,460.15335679999737,1,,0,460.52145920000225,,460.52145920000225,460.7228672000021,4,13,animal accepted but quit before outcome revealed
