trial_index,tone_onset,tone_prob,restaurant,T_Entry,choice,accept,outcome,reward,quit,collection,trial_end,exit,lapIndex,blockIndex,comment
4,7.048051200002432,100,1,,7.051929600000381,0,,0,,,7.051929600000381,7.051929600000381,0,1,rejected offer but t junction entry not detected
54,612.5737088000029,100,3,621.5797760000005,621.6461952000037,1,622.8236288000047,1,,625.5595648000017,625.5595648000017,674.4381952000036,0,3,"accepted, waited, rewarded, and collected"
59,699.3791104000062,0,4,718.1880320000053,719.5986432000026,0,,0,,,719.5986432000026,719.5986432000026,0,5,entered T junction then rejected and moved on
60,719.5990656000004,0,1,729.8092544,730.0434432000071,1,,0,733.6161920000017,,733.6161920000017,733.6161920000017,1,5,animal accepted but quit before outcome revealed
76,867.7788672000021,100,2,866.0760576000065,865.8420480000004,1,871.7655936000049,1,,874.2407936000004,874.2407936000004,902.7203840000034,0,7,fetched offer tone
78,903.7349632000029,100,3,904.1335296000019,904.2672256000042,1,905.4689920000061,1,,916.4004992000014,916.4004992000014,928.9149568000063,0,9,"accepted, waited, rewarded, and collected"
83,948.1131264000013,100,4,948.5794432000071,939.140633600004,1,949.8546688000039,1,,951.9568384000063,951.9568384000063,977.4784768000021,0,11,"accepted, waited, rewarded, and collected"
116,1146.583910400003,100,1,1166.5722240000068,1166.5722240000068,0,,0,,,1166.5722240000068,1166.5722240000068,0,13,entered T junction but never entered restaurant
120,1167.052928000003,100,2,1169.1552512000055,1169.3227392000035,1,1170.6020351999998,1,,1172.702003200002,1172.702003200002,1181.6688512000069,0,15,fetched offer tone
126,1211.1508992,100,3,1211.6510976000056,1211.8174592000023,1,1213.2192896000072,1,,1215.468339200005,1215.468339200005,1215.468339200005,0,17,"accepted, waited, rewarded, and collected"
137,1327.375436800003,100,4,1330.3819648,1316.1283712000027,1,1331.9165824000015,1,,1333.5828608000054,1333.5828608000054,1372.5376000000015,0,19,"accepted, waited, rewarded, and collected"
160,1514.3687424000054,100,1,1541.4360832000002,1541.5696640000044,1,,0,1550.076339200005,,1550.076339200005,1550.076339200005,0,21,animal accepted but quit
172,1631.2189952000008,100,2,1632.9872384000048,1633.1527040000037,1,1634.4211840000003,1,,1636.2841728000044,1636.2841728000044,1636.2841728000044,0,23,"accepted, waited, rewarded, and collected"
203,1936.8319360000044,100,4,1939.6684288000017,1926.856,1,,0,1948.046182400003,,1948.046182400003,1948.2635904000028,0,25,animal accepted but quit before outcome revealed
204,1948.264422400005,0,1,1949.6647807999998,1949.866009600006,1,1957.0868608000055,0,,,1957.0868608000055,1976.9948288000003,1,25,"accepted, waited, no-reward"
212,2030.1047424000055,100,2,2031.1731328000053,2031.4403456000016,1,2033.1410688000024,1,,2034.8324224000053,2034.8324224000053,2048.058432000004,0,27,"accepted, waited, rewarded, and collected"
269,2595.9486592000053,100,4,2597.446195200004,2593.877004800007,1,2598.8475264,1,,2600.3771008000003,2600.3771008000003,2716.080716800004,0,29,"accepted, waited, rewarded, and collected"
270,2716.9065216000004,0,1,2718.173849600002,2718.338099200003,1,2725.485145600006,0,,,2725.485145600006,2725.485145600006,1,29,"accepted, waited, no-reward"
272,2735.8084736,100,2,2737.215808000006,2737.4803456000013,1,2738.754393600002,1,,2740.3298816,2740.3298816,2740.3298816,0,31,"accepted, waited, rewarded, and collected"
