,event_description,timestamp,event_code,restaurant,keyword
0,Quit R4,36.91110400000215,49,4,quit
0,R1 0% offer,37.03197439999878,17,1,0_offer
0,Reject R1,37.033830399997534,12,1,reject
0,SHARP Entry R1,37.203827199995516,61,1,tentry
0,SHARP Accept R1,37.30374399999529,62,1,enter
0,Enter R1,37.47128319999575,11,1,enter
0,SHARP Accept R1,39.73992960000038,62,1,enter
0,Quit R1,39.973478399999436,13,1,quit
0,Reject R1,40.37497599999607,12,1,reject
0,R2 20% offer,40.42192639999837,30,2,20_offer
0,SHARP Entry R2,40.71630079999566,64,2,tentry
0,SHARP Accept R2,40.78156799999625,65,2,enter
0,Enter R2,40.91974399999529,23,2,enter
0,SHARP Accept R2,41.25126399999857,65,2,enter
0,Quit R2,43.25089279999584,25,2,quit
0,Reject R2,43.38662399999797,24,2,reject
0,R3 20% offer,43.39306239999831,42,3,20_offer
0,SHARP Entry R3,43.612697599999606,67,3,tentry
0,SHARP Accept R3,43.711961599998176,68,3,enter
0,Enter R3,43.84698879999667,35,3,enter
0,SHARP Accept R3,48.316172799997034,68,3,enter
0,Servo 3 open,48.88506879999488,5,3,servo open
0,R3 reward taken,51.12096000000089,40,3,taken
0,SHARP Accept R3,54.22362879999727,68,3,enter
0,Quit R3,54.624230399996044,37,3,quit
0,Reject R3,54.82443519999832,36,3,reject
0,R4 80% offer,54.87059200000018,55,4,80_offer
0,SHARP Entry R4,55.13008639999479,70,4,tentry
0,SHARP Accept R4,55.19738879999518,71,4,enter
0,Enter R4,55.33090559999645,47,4,enter
0,SHARP Accept R4,57.132671999998394,71,4,enter
0,Servo 4 open,58.352780799999834,7,4,servo open
0,SHARP Accept R4,59.66961919999868,71,4,enter
0,R4 reward taken,65.20678400000185,52,4,taken
0,Quit R4,67.97818879999966,49,4,quit
0,Reject R4,69.21281279999762,48,4,reject
0,R1 80% offer,69.27706879999488,19,1,80_offer
0,SHARP Entry R1,71.04263679999858,61,1,tentry
0,SHARP Accept R1,72.00999679999799,62,1,enter
0,Enter R1,72.24422399999946,11,1,enter
0,SHARP Entry R1,72.37806080000102,61,1,tentry
0,SHARP Accept R1,72.77850879999995,62,1,enter
0,SHARP Entry R1,72.91156480000168,61,1,tentry
0,SHARP Accept R1,73.14549759999663,62,1,enter
0,Servo 1 open,75.26163199999928,1,1,servo open
0,Reject R1,75.34828799999505,12,1,reject
0,SHARP Accept R1,75.74757119999826,62,1,enter
0,Quit R1,75.88111360000075,13,1,quit
0,R2 100% offer,76.05680640000105,32,2,100_offer
0,SHARP Entry R2,76.32294399999827,64,2,tentry
0,SHARP Accept R2,76.4233471999988,65,2,enter
0,SHARP Entry R2,76.58874880000204,64,2,tentry
0,Enter R2,76.58887680000066,23,2,enter
0,SHARP Accept R2,77.15686400000006,65,2,enter
0,Servo 2 open,77.60326399999857,3,2,servo open
0,SHARP Accept R2,77.69022720000147,65,2,enter
0,R2 reward taken,78.94168320000172,28,2,taken
0,SHARP Accept R2,82.562111999996,65,2,enter
0,Quit R2,84.33062399999797,25,2,quit
0,Reject R2,84.85900800000131,24,2,reject
0,R3 20% offer,84.85963520000129,42,3,20_offer
0,SHARP Entry R3,85.09167359999567,67,3,tentry
0,SHARP Accept R3,85.19242239999771,68,3,enter
0,Enter R3,85.29226240000129,35,3,enter
0,SHARP Accept R3,86.46000639999657,68,3,enter
0,Quit R3,87.79566079999506,37,3,quit
0,Reject R3,87.96417279999703,36,3,reject
0,SHARP Accept R3,93.70227199999988,68,3,enter
0,Enter R3,93.7023999999985,35,3,enter
0,Quit R3,93.80194559999555,37,3,quit
0,R4 100% offer,94.0444415999949,56,4,100_offer
0,SHARP Entry R4,94.34245120000094,70,4,tentry
0,SHARP Accept R4,94.40817920000106,71,4,enter
0,Enter R4,94.57483519999683,47,4,enter
0,Servo 4 open,95.57711360000074,7,4,servo open
0,SHARP Accept R4,100.24787200000137,71,4,enter
0,Reject R4,103.15176959999651,48,4,reject
0,Quit R4,103.25114880000055,49,4,quit
0,SHARP Accept R4,103.35196159999818,71,4,enter
0,Enter R4,103.35275519999861,47,4,enter
0,Quit R4,103.81854720000177,49,4,quit
0,SHARP Accept R4,106.78987519999593,71,4,enter
0,Enter R4,106.95604479999841,47,4,enter
0,Reject R4,106.95672320000082,48,4,reject
0,Quit R4,107.12197119999676,49,4,quit
0,SHARP Entry R4,107.35653119999915,70,4,tentry
0,SHARP Accept R3,110.82115839999913,68,3,enter
0,Enter R3,111.02202879999578,35,3,enter
0,SHARP Accept R3,112.25591039999574,68,3,enter
0,Quit R3,113.4910719999969,37,3,quit
0,SHARP Entry R3,113.69117440000177,67,3,tentry
0,SHARP Entry R4,116.19901439999789,70,4,tentry
0,SHARP Accept R4,116.36591359999775,71,4,enter
0,Enter R4,116.60025599999726,47,4,enter
0,Quit R4,117.26731520000101,49,4,quit
0,Enter R4,117.4356224000007,47,4,enter
0,Quit R4,117.80087039999664,49,4,quit
0,R1 100% offer,117.96261119999737,20,1,100_offer
0,SHARP Entry R1,118.29653759999573,61,1,tentry
0,Reject R1,119.19705600000172,12,1,reject
0,R2 20% offer,119.27164159999788,30,2,20_offer
0,Reject R2,120.30055680000036,24,2,reject
0,SHARP Entry R2,128.3820287999958,64,2,tentry
0,SHARP Accept R2,128.5480447999984,65,2,enter
0,SHARP Entry R2,128.81460480000078,64,2,tentry
0,Enter R2,129.4840319999978,23,2,enter
0,SHARP Accept R2,129.88344319999962,65,2,enter
0,Quit R2,136.29085440000148,25,2,quit
0,Enter R2,136.35747839999945,23,2,enter
0,Quit R2,138.15873279999943,25,2,quit
0,Enter R2,138.46014719999582,23,2,enter
0,Quit R2,138.89315839999915,25,2,quit
0,Enter R2,140.66192639999838,23,2,enter
0,Quit R2,140.96321279999614,25,2,quit
0,Enter R2,141.06202879999577,23,2,enter
0,Quit R2,141.0956671999991,25,2,quit
0,Enter R2,141.12920319999753,23,2,enter
0,Quit R2,141.16294399999828,25,2,quit
0,Enter R2,141.4970751999989,23,2,enter
0,Quit R2,141.53025279999525,25,2,quit
0,Enter R2,141.63020799999683,23,2,enter
0,Quit R2,141.83006719999761,25,2,quit
0,Enter R2,142.19810559999942,23,2,enter
0,Quit R2,142.2314367999956,25,2,quit
0,Enter R2,142.2637695999965,23,2,enter
0,Quit R2,143.83182079999895,25,2,quit
0,Enter R2,144.16565760000051,23,2,enter
0,Quit R2,145.70296319999545,25,2,quit
0,Enter R2,145.76780799999833,23,2,enter
0,Quit R2,145.80157440000028,25,2,quit
0,Enter R2,145.90264319999517,23,2,enter
0,Quit R2,146.00151039999724,25,2,quit
0,Enter R2,146.03508479999752,23,2,enter
0,SHARP Accept R2,146.43591679999977,65,2,enter
0,Quit R2,146.70211840000005,25,2,quit
0,Reject R1,119.2716671999991,12,1,reject
0,SHARP Accept R1,120.53186559999735,62,1,enter
0,Enter R1,120.60002560000122,11,1,enter
0,Quit R1,124.26926079999656,13,1,quit
0,Enter R1,124.40328959999978,11,1,enter
0,Quit R1,125.67106560000032,13,1,quit
0,Enter R1,127.14026240000129,11,1,enter
0,Quit R1,127.23950079999864,13,1,quit
0,Enter R1,127.27336959999799,11,1,enter
0,SHARP Accept R1,127.33923839999736,62,1,enter
0,Quit R1,127.60715519999712,13,1,quit
0,R3 80% offer,146.96344319999963,43,3,80_offer
0,SHARP Entry R3,147.262630400002,67,3,tentry
0,SHARP Accept R3,147.4302848000005,68,3,enter
0,Enter R3,147.56321279999614,35,3,enter
0,Quit R3,150.53393919999897,37,3,quit
0,Reject R3,150.66778880000115,36,3,reject
0,R4 20% offer,150.70892799999564,54,4,20_offer
0,SHARP Entry R4,151.406054399997,70,4,tentry
0,SHARP Accept R4,151.7400832000002,71,4,enter
0,Enter R4,152.1397247999981,47,4,enter
0,SHARP Accept R4,152.87441919999569,71,4,enter
0,Quit R4,155.71066879999637,49,4,quit
0,Reject R4,156.9505023999959,48,4,reject
0,R1 20% offer,156.97624319999665,18,1,20_offer
0,SHARP Entry R1,157.47356159999967,61,1,tentry
0,SHARP Accept R1,158.47481599999963,62,1,enter
0,Enter R1,158.67614719999582,11,1,enter
0,SHARP Accept R1,159.91019519999622,62,1,enter
0,Quit R1,160.10981120000034,13,1,quit
0,Reject R1,160.2436480000019,12,1,reject
0,R2 100% offer,160.28432639999687,32,2,100_offer
0,SHARP Entry R2,160.5508095999956,64,2,tentry
0,SHARP Accept R2,160.65157119999827,65,2,enter
0,Enter R2,160.7847039999962,23,2,enter
0,SHARP Entry R2,160.81852160000057,64,2,tentry
0,Servo 2 open,161.8007039999962,3,2,servo open
0,R2 reward taken,162.9377023999989,28,2,taken
0,SHARP Accept R2,166.69222399999947,65,2,enter
0,Reject R2,167.29313279999792,24,2,reject
0,SHARP Accept R2,167.62586879999935,65,2,enter
0,Quit R2,169.9287295999974,25,2,quit
0,R3 100% offer,170.12417279999704,44,3,100_offer
0,SHARP Entry R3,170.4226687999964,67,3,tentry
0,SHARP Accept R3,170.52293119999766,68,3,enter
0,Enter R3,170.62370560000093,35,3,enter
0,Servo 3 open,171.63525119999795,5,3,servo open
0,R3 reward taken,172.71985920000077,40,3,taken
0,SHARP Accept R3,175.62885119999945,68,3,enter
0,Quit R3,175.92936959999798,37,3,quit
0,Enter R3,176.562739199996,35,3,enter
0,Quit R3,178.26465280000122,37,3,quit
0,Enter R3,178.3324415999949,35,3,enter
0,Quit R3,178.46598399999738,37,3,quit
0,Enter R3,178.76583680000155,35,3,enter
0,Quit R3,178.8652928000018,37,3,quit
0,Enter R3,178.89868800000102,35,3,enter
0,Quit R3,178.93254399999975,37,3,quit
0,Enter R3,178.96545279999822,35,3,enter
0,Quit R3,179.06530559999496,37,3,quit
0,Enter R3,179.19886079999804,35,3,enter
0,SHARP Accept R3,180.73409279999882,68,3,enter
0,Quit R3,181.56826879999787,37,3,quit
0,Reject R3,181.70384640000015,36,3,reject
0,SHARP Accept R3,182.00215039999782,68,3,enter
0,SHARP Entry R3,184.73857279999555,67,3,tentry
0,Enter R3,185.00682239999622,35,3,enter
0,SHARP Accept R3,185.1733376000002,68,3,enter
0,Quit R3,187.0096767999977,37,3,quit
0,R4 80% offer,187.14658559999614,55,4,80_offer
0,SHARP Entry R4,187.41279999999702,70,4,tentry
0,SHARP Accept R4,187.47980799999834,71,4,enter
0,Enter R4,187.5806975999996,47,4,enter
0,Servo 4 open,190.58219519999622,7,4,servo open
0,SHARP Accept R4,194.621311999999,71,4,enter
0,Reject R4,200.29570560000093,48,4,reject
0,Quit R4,200.42808320000023,49,4,quit
0,SHARP Accept R4,200.56152319999785,71,4,enter
0,Enter R4,200.5617151999995,47,4,enter
0,Reject R4,200.6290047999993,48,4,reject
0,Quit R4,200.86182400000095,49,4,quit
0,R1 0% offer,201.1244799999967,17,1,0_offer
0,SHARP Entry R1,201.39039999999852,61,1,tentry
0,SHARP Accept R1,201.52424960000067,62,1,enter
0,Enter R1,201.6237439999953,11,1,enter
0,Quit R1,204.19390720000118,13,1,quit
0,Reject R1,204.36062719999998,12,1,reject
0,R2 0% offer,204.40175360000134,29,2,0_offer
0,SHARP Entry R2,204.66798079999538,64,2,tentry
0,SHARP Accept R2,204.73598719999939,65,2,enter
0,Enter R2,204.8357247999981,23,2,enter
0,SHARP Accept R2,205.73795839999616,65,2,enter
0,Reject R2,205.8373247999996,24,2,reject
0,Quit R2,205.87045120000093,25,2,quit
0,Enter R2,206.00258559999614,23,2,enter
0,Reject R2,206.40372479999812,24,2,reject
0,SHARP Accept R2,206.70321920000018,65,2,enter
0,Quit R2,206.90483199999483,25,2,quit
0,R3 0% offer,207.06700800000132,41,3,0_offer
0,SHARP Entry R3,207.43229439999908,67,3,tentry
0,SHARP Accept R3,207.6313728,68,3,enter
0,Reject R3,207.96622079999744,36,3,reject
0,R4 100% offer,207.97071359999478,56,4,100_offer
0,SHARP Entry R4,208.27013120000063,70,4,tentry
0,SHARP Accept R4,208.53799679999798,71,4,enter
0,Enter R4,208.8041343999952,47,4,enter
0,Servo 4 open,209.8062848000005,7,4,servo open
0,Quit R4,213.20889599999785,49,4,quit
0,Reject R4,213.30437119999527,48,4,reject
0,R1 100% offer,213.30576640000194,20,1,100_offer
0,SHARP Entry R1,213.57063679999857,61,1,tentry
0,SHARP Accept R1,213.63875840000063,62,1,enter
0,Enter R1,213.73850879999995,11,1,enter
0,SHARP Entry R1,213.87109120000153,61,1,tentry
0,Servo 1 open,214.74053119999914,1,1,servo open
0,Reject R1,214.87257599999757,12,1,reject
0,SHARP Accept R1,215.8403071999997,62,1,enter
0,SHARP Entry R1,217.94236159999667,61,1,tentry
0,Quit R1,220.1464447999969,13,1,quit
0,SHARP Accept R1,220.57928959999978,62,1,enter
0,SHARP Entry R1,221.14597119999678,61,1,tentry
0,R2 100% offer,222.2556799999997,32,2,100_offer
0,SHARP Entry R2,222.79244799999893,64,2,tentry
0,SHARP Accept R2,222.89539840000123,65,2,enter
0,Enter R2,222.99224319999664,23,2,enter
0,Servo 2 open,223.99463679999857,3,2,servo open
0,R2 reward taken,225.07582719999553,28,2,taken
0,SHARP Accept R2,227.06015999999642,65,2,enter
0,Reject R2,228.22842880000175,24,2,reject
0,SHARP Accept R2,228.79746559999884,65,2,enter
0,Quit R2,231.5350015999973,25,2,quit
0,R3 80% offer,231.69658879999815,43,3,80_offer
0,SHARP Entry R3,231.99559679999948,67,3,tentry
0,SHARP Accept R3,232.09317119999974,68,3,enter
0,Enter R3,232.19482880000024,35,3,enter
0,SHARP Accept R3,234.93030399999768,68,3,enter
0,R3 no-reward tone,235.19759359999745,39,3,noreward
0,Quit R3,235.5647615999952,37,3,quit
0,Reject R3,236.03759359999745,36,3,reject
0,Enter R3,240.30275840000064,35,3,enter
0,SHARP Accept R3,240.33580799999834,68,3,enter
0,Quit R3,240.43609600000084,37,3,quit
0,R4 0% offer,240.70882559999825,53,4,0_offer
0,SHARP Entry R4,241.0427775999978,70,4,tentry
0,Reject R4,241.34049279999732,48,4,reject
0,R1 80% offer,241.34207999999822,19,1,80_offer
0,SHARP Entry R1,241.60287999999522,61,1,tentry
0,SHARP Accept R1,241.83777279999853,62,1,enter
0,Enter R1,241.97262079999595,11,1,enter
0,SHARP Entry R1,242.27109120000154,61,1,tentry
0,Quit R1,242.30470399999618,13,1,quit
0,Reject R1,242.5731071999967,12,1,reject
0,R2 100% offer,242.5823999999985,32,2,100_offer
0,SHARP Entry R2,242.87847680000215,64,2,tentry
0,SHARP Accept R2,242.94620160000025,65,2,enter
0,Enter R2,243.11219200000167,23,2,enter
0,Servo 2 open,244.11413759999724,3,2,servo open
0,R2 reward taken,245.242111999996,28,2,taken
0,SHARP Accept R2,248.61858559999615,65,2,enter
0,Reject R2,251.2219648000002,24,2,reject
0,Quit R2,251.45551359999925,25,2,quit
0,Enter R2,252.12277759999782,23,2,enter
0,Quit R2,252.2910080000013,25,2,quit
0,Enter R2,252.39073279999943,23,2,enter
0,Reject R2,252.4906752000004,24,2,reject
0,SHARP Accept R2,252.58892799999566,65,2,enter
0,Quit R2,252.82328319999576,25,2,quit
0,R3 100% offer,253.01708799999952,44,3,100_offer
0,SHARP Entry R3,253.31691519999504,67,3,tentry
0,SHARP Accept R3,253.4180863999948,68,3,enter
0,Enter R3,253.55069439999758,35,3,enter
0,Servo 3 open,254.55253759999573,5,3,servo open
0,R3 reward taken,255.54428159999847,40,3,taken
0,SHARP Accept R3,257.7558271999955,68,3,enter
0,Quit R3,257.9565824000016,37,3,quit
0,Reject R3,258.05717759999635,36,3,reject
0,R4 100% offer,258.0610815999955,56,4,100_offer
0,SHARP Entry R4,258.39495679999885,70,4,tentry
0,SHARP Accept R4,258.46031359999625,71,4,enter
0,Enter R4,258.5956480000019,47,4,enter
0,Quit R4,258.7606015999988,49,4,quit
0,Reject R4,259.0246528000012,48,4,reject
0,R1 80% offer,259.02574080000073,19,1,80_offer
0,SHARP Entry R1,259.3568255999982,61,1,tentry
0,SHARP Accept R1,259.4582144000009,62,1,enter
0,Enter R1,259.5570047999993,11,1,enter
0,R1 no-reward tone,262.56687359999864,15,1,noreward
0,Quit R1,263.22800639999656,13,1,quit
0,SHARP Entry R1,263.29410559999945,61,1,tentry
0,Reject R1,263.62817279999706,12,1,reject
0,R2 0% offer,263.636684799999,29,2,0_offer
0,SHARP Entry R2,263.96911360000075,64,2,tentry
0,Reject R2,264.3038720000014,24,2,reject
0,R3 100% offer,264.33052160000057,44,3,100_offer
0,SHARP Entry R3,265.5642752000019,67,3,tentry
0,SHARP Accept R3,265.69763839999587,68,3,enter
0,Enter R3,265.79787519999593,35,3,enter
0,SHARP Entry R3,265.99895039999484,67,3,tentry
0,Servo 3 open,266.80025599999726,5,3,servo open
0,R3 reward taken,267.8907135999948,40,3,taken
0,SHARP Accept R3,271.20400639999656,68,3,enter
0,Quit R3,275.47599359999595,37,3,quit
0,Reject R3,275.61318400000033,36,3,reject
0,R4 100% offer,275.61716479999575,56,4,100_offer
0,SHARP Entry R4,276.18012160000205,70,4,tentry
0,SHARP Accept R4,276.2473471999988,71,4,enter
0,Enter R4,276.4816128000021,47,4,enter
0,Servo 4 open,277.4839296000004,7,4,servo open
0,Quit R4,280.68588799999657,49,4,quit
0,Reject R4,280.74851839999855,48,4,reject
0,R1 20% offer,280.7490432000011,18,1,20_offer
0,SHARP Entry R1,281.0140159999952,61,1,tentry
0,SHARP Accept R1,281.113996799998,62,1,enter
0,Enter R1,281.18115839999916,11,1,enter
0,Quit R1,281.8166656000018,13,1,quit
0,SHARP Entry R1,281.8505855999961,61,1,tentry
0,Reject R1,282.454796799995,12,1,reject
0,SHARP Accept R4,282.75738879999517,71,4,enter
0,SHARP Entry R4,283.4887295999974,70,4,tentry
0,SHARP Accept R4,284.38956799999625,71,4,enter
0,SHARP Entry R4,285.0235648000017,70,4,tentry
0,Enter R4,285.25730559999494,47,4,enter
0,Quit R4,285.2902400000021,49,4,quit
0,SHARP Accept R4,285.9249024000019,71,4,enter
0,SHARP Accept R3,296.0660095999986,68,3,enter
0,SHARP Entry R3,296.7021312000006,67,3,tentry
0,Enter R3,296.70238719999793,35,3,enter
0,Quit R3,298.1372928000018,37,3,quit
0,SHARP Accept R3,299.40366079999507,68,3,enter
0,Enter R3,299.6709887999967,35,3,enter
0,SHARP Entry R3,299.73751039999723,67,3,tentry
0,Quit R3,300.0376319999993,37,3,quit
0,SHARP Accept R4,297.23710719999673,71,4,enter
0,Enter R4,299.1396352000013,47,4,enter
0,Quit R4,299.37407999999823,49,4,quit
0,Enter R4,299.573427199997,47,4,enter
0,Quit R4,300.27395839999616,49,4,quit
0,Enter R4,300.375884800002,47,4,enter
0,SHARP Entry R4,301.54223359999804,70,4,tentry
0,Quit R4,304.2455296000019,49,4,quit
0,Reject R1,301.9064447999969,12,1,reject
0,SHARP Entry R1,302.072051199995,61,1,tentry
0,SHARP Accept R1,302.13854720000177,62,1,enter
0,Enter R1,302.2064127999991,11,1,enter
0,SHARP Accept R1,306.8772351999953,62,1,enter
0,Quit R1,310.08515839999916,13,1,quit
0,R2 80% offer,310.2223231999949,31,2,80_offer
0,SHARP Entry R2,310.6617343999967,64,2,tentry
0,SHARP Accept R2,311.39170560000093,65,2,enter
0,Reject R2,313.0530047999993,24,2,reject
0,R3 80% offer,313.0537471999973,43,3,80_offer
0,SHARP Entry R3,313.8868351999968,67,3,tentry
0,Reject R3,314.8884864000008,36,3,reject
0,R4 0% offer,314.9258751999959,53,4,0_offer
0,SHARP Entry R4,315.42521599999816,70,4,tentry
0,SHARP Accept R4,315.59212799999864,71,4,enter
0,Reject R4,315.8877951999977,48,4,reject
0,R1 0% offer,315.8903936000019,17,1,0_offer
0,Reject R1,316.9954816000014,12,1,reject
0,SHARP Entry R1,333.7409535999969,61,1,tentry
0,SHARP Accept R1,334.7081216000021,62,1,enter
0,Enter R1,334.8460159999952,11,1,enter
0,SHARP Accept R1,336.0128255999982,62,1,enter
0,Quit R1,336.346111999996,13,1,quit
0,SHARP Entry R1,336.97941759999844,61,1,tentry
0,SHARP Accept R4,317.1948672000021,71,4,enter
0,Enter R4,317.59685119999943,47,4,enter
0,SHARP Accept R4,322.60088319999727,71,4,enter
0,Quit R4,326.3745791999996,49,4,quit
0,Enter R4,330.6086272,47,4,enter
0,Quit R4,331.8763647999987,49,4,quit
0,SHARP Accept R4,338.78479360000046,71,4,enter
0,Enter R4,342.1271167999953,47,4,enter
0,Quit R4,344.0922496000007,49,4,quit
0,SHARP Entry R4,344.92627199999987,70,4,tentry
0,SHARP Accept R3,346.93137919999657,68,3,enter
0,Enter R3,347.0913024000004,35,3,enter
0,Quit R3,348.5299327999949,37,3,quit
0,Enter R3,348.5943295999989,35,3,enter
0,SHARP Entry R3,348.92643840000034,67,3,tentry
0,Quit R3,348.9596415999979,37,3,quit
0,SHARP Entry R3,349.1261823999956,67,3,tentry
0,SHARP Accept R2,349.93597439999877,65,2,enter
0,Enter R2,350.26959359999745,23,2,enter
0,Quit R2,353.63781120000033,25,2,quit
0,Enter R2,354.70551039999725,23,2,enter
0,Quit R2,354.83895039999487,25,2,quit
