,event_description,timestamp,event_code,restaurant
0,SHARP Exit R4,6.216435199998319,72,4
0,Enter R4,12.12208640000224,47,4
0,SHARP Entry R4,16.15888639999926,70,4
0,SHARP Exit R4,18.095590400002898,72,4
0,SHARP Accept R3,19.12714239999652,68,3
0,SHARP Entry R4,19.763724799998105,70,4
0,SHARP Exit R4,20.39623680000007,72,4
0,SHARP Exit R4,20.76479999999702,72,4
0,SHARP Exit R4,20.897497599996626,72,4
0,SHARP Exit R4,21.098112000003457,72,4
0,SHARP Exit R4,21.432217600002886,72,4
0,SHARP Exit R4,21.56529919999838,72,4
0,SHARP Exit R4,22.03217920000106,72,4
0,SHARP Accept R3,22.496755199998617,68,3
0,SHARP Accept R3,22.563980800002813,68,3
0,SHARP Exit R4,22.567052799999715,72,4
0,SHARP Entry R4,22.599219200000167,70,4
0,SHARP Entry R4,23.067315200001,70,4
0,SHARP Entry R4,23.434291199997066,70,4
0,SHARP Exit R4,23.869017599999903,72,4
0,Quit R4,23.8692480000034,49,4
0,Mouse in offer zone 1,24.108595200002192,10,1
0,R1 no-reward tone,24.167104000002144,15,1
0,R1 80% offer,24.173951999999584,19,1
0,Reject R1,24.17446400000155,12,1
0,Servo 1 closed,24.175039999999107,2,1
0,SHARP Accept R4,24.234560000002386,71,4
0,SHARP Entry R1,24.44140799999982,61,1
0,SHARP Entry R1,24.50935040000081,61,1
0,SHARP Accept R1,24.775769599996508,62,1
0,Enter R1,24.977369599997996,11,1
0,SHARP Accept R1,25.509388800002636,62,1
0,SHARP Entry R1,25.54370560000092,61,1
0,SHARP Accept R1,25.876774400003253,62,1
0,SHARP Accept R1,26.711974399998784,62,1
0,SHARP Accept R1,26.877696000002324,62,1
0,SHARP Entry R1,27.945177599996327,61,1
0,SHARP Accept R1,28.045145599998534,62,1
0,SHARP Entry R1,28.07891200000048,61,1
0,SHARP Exit R1,28.47930879999697,63,1
0,Quit R1,28.47948799999803,13,1
0,Mouse in hall 2,28.579916799999772,21,2
0,Mouse in offer zone 2,28.73758720000088,22,2
0,Reject R1,28.740838399998843,12,1
0,Servo 1 closed,28.741273599997164,2,1
0,R2 no-reward tone,28.750681599996984,27,2
0,R2 0% offer,28.750784000001847,29,2
0,SHARP Entry R2,29.13667840000242,64,2
0,SHARP Accept R2,29.236889600001277,65,2
0,Enter R2,29.40405759999901,23,2
0,SHARP Entry R2,29.46467840000242,64,2
0,SHARP Entry R2,29.571737599998713,64,2
0,SHARP Accept R2,30.471859200000765,65,2
0,SHARP Accept R4,30.976588799998165,71,4
0,SHARP Accept R4,31.07681279999763,71,4
0,SHARP Accept R4,31.211545599997045,71,4
0,SHARP Accept R4,31.309951999999583,71,4
0,SHARP Accept R4,31.442918399997055,71,4
0,SHARP Accept R4,31.542976000003517,71,4
0,SHARP Accept R4,31.74337280000001,71,4
0,SHARP Accept R4,31.876582400001585,71,4
0,SHARP Accept R4,32.17775360000134,71,4
0,SHARP Accept R4,32.31112960000336,71,4
0,SHARP Accept R4,32.411609600000084,71,4
0,SHARP Accept R4,32.54571519999951,71,4
0,SHARP Accept R4,32.944268799997865,71,4
0,SHARP Accept R4,33.24584960000217,71,4
0,SHARP Accept R4,33.37836800000071,71,4
0,SHARP Accept R4,33.47848960000277,71,4
0,SHARP Accept R4,33.57898240000009,71,4
0,SHARP Accept R4,33.812761600002645,71,4
0,SHARP Accept R4,33.87947519999742,71,4
0,SHARP Accept R4,34.21267199999839,71,4
0,SHARP Accept R4,35.048268799997864,71,4
0,SHARP Accept R4,35.180083200000226,71,4
0,SHARP Accept R4,35.28088319999725,71,4
0,SHARP Accept R4,35.380633599996564,71,4
0,SHARP Accept R4,35.64887039999664,71,4
0,SHARP Accept R4,35.782348800003525,71,4
0,SHARP Accept R4,35.98175999999791,71,4
0,SHARP Accept R4,36.419391999997195,71,4
0,SHARP Accept R4,36.4845952000022,71,4
0,R2 no-reward tone,36.489638400003315,27,2
0,SHARP Accept R2,36.512755199998615,65,2
0,SHARP Accept R4,36.54839039999992,71,4
0,SHARP Accept R4,36.715187200002376,71,4
0,Quit R2,36.81237759999931,25,2
0,SHARP Exit R2,36.91360000000149,66,2
0,Mouse in hall 3,36.91372800000012,33,3
0,Servo 2 closed,36.91779839999974,4,2
0,Reject R2,36.917811200000344,24,2
0,Servo 2 closed,37.249715199999514,4,2
0,Reject R2,37.24974080000073,24,2
0,Mouse in offer zone 3,37.25199360000342,34,3
0,R3 reward tone,37.25891839999706,38,3
0,R3 100% offer,37.25896959999949,44,3
0,SHARP Accept R4,37.28488960000128,71,4
0,SHARP Accept R4,37.68439039999992,71,4
0,SHARP Entry R3,37.714854400001464,67,3
0,SHARP Accept R3,37.815334399998186,68,3
0,SHARP Exit R3,38.34867199999839,69,3
0,SHARP Accept R4,38.58519039999694,71,4
0,SHARP Exit R3,38.64797439999879,69,3
0,SHARP Accept R4,38.7183871999979,71,4
0,SHARP Exit R3,38.81612799999863,69,3
