trial_index,tone_onset,tone_prob,restaurant,T_Entry,choice,accept,outcome,reward,quit,collection,trial_end,exit,lapIndex,blockIndex,comment
0,,,4,,,0,,0,,,,24.234560000002386,0,0,
1,24.173951999999584,80,1,24.44140799999982,24.775769599996508,1,,0,28.47948799999803,,28.47948799999803,28.740838399998843,0,1,animal accepted but quit before outcome revealed
2,28.750784000001847,0,2,29.13667840000242,29.236889600001277,1,36.489638400003315,0,,,36.489638400003315,36.917811200000344,0,1,"accepted, waited, no-reward"
3,,,4,,,0,,0,,,,30.976588799998165,0,2,
4,37.25896959999949,100,3,37.714854400001464,37.815334399998186,1,,0,40.3502976000011,,40.3502976000011,40.55225599999726,0,3,animal accepted but quit before outcome revealed
5,,,4,,,0,,0,,,,40.82163199999928,0,4,
6,,,3,,,0,,0,,,,54.77210880000144,0,4,
7,54.87653119999916,80,4,55.17039360000193,47.428416000001135,1,58.63048960000277,1,,60.34995199999958,60.34995199999958,81.23462399999798,0,5,"accepted, waited, rewarded, and collected"
8,81.24121599999815,20,1,81.5403647999987,81.67330560000241,1,,0,83.37500159999728,,83.37500159999728,83.37500159999728,1,5,animal accepted but quit
9,,,4,,,0,,0,,,,85.20431359999627,0,6,
10,,,1,,,0,,0,,,,93.84769280000032,0,6,
11,,,4,,,0,,0,,,,93.31436800000071,0,6,
12,93.84765439999849,80,2,94.2107519999966,94.34415359999984,1,97.616,1,,99.20689919999987,99.20689919999987,99.20689919999987,0,7,"accepted, waited, rewarded, and collected"
13,,,4,,,0,,0,,,,99.45452799999714,0,8,
14,,,2,,,0,,0,,,,110.1963647999987,0,8,
15,110.19694079999626,0,3,110.4636032000035,110.56322559999674,1,,0,113.20070400000364,,113.20070400000364,113.36721920000016,0,9,animal accepted but quit before outcome revealed
16,113.40318720000238,80,4,113.66949120000005,114.10275840000064,1,117.10453760000318,0,,,117.10453760000318,130.8893567999974,0,9,"accepted, waited, no-reward"
17,130.8997119999975,0,1,131.0955904000029,131.2293376000002,1,,0,135.10115839999915,,135.10115839999915,135.26808320000023,1,9,animal accepted but quit before outcome revealed
18,135.32707840000094,0,2,135.65822720000148,135.76052480000257,1,,0,139.79720960000157,,139.79720960000157,139.9003647999987,1,9,animal accepted but quit before outcome revealed
21,139.9009280000031,100,3,140.16414720000327,140.2644095999971,1,141.60165119999647,1,,142.64869120000301,142.64869120000301,149.54466560000182,1,9,fetched offer tone
22,149.57822720000146,80,4,149.8766719999984,150.21118720000237,1,153.22106880000234,1,,154.47080960000307,154.47080960000307,168.86525439999997,1,9,fetched offer tone
23,161.7003008000031,100,1,162.03185920000075,162.199257600002,1,164.8033280000016,1,,168.86143999999763,168.86143999999763,178.35042559999974,2,9,"accepted, waited, rewarded, and collected"
24,178.40779519999774,20,2,178.71139840000123,179.11079680000245,0,,0,,,179.11079680000245,179.11079680000245,2,9,entered T junction then rejected and moved on
25,179.11193599999697,0,3,179.4106623999998,179.54323200000078,1,,0,180.1786752000004,,180.1786752000004,180.71482880000025,2,9,animal accepted but quit before outcome revealed
26,180.7813376000002,80,4,181.17864959999918,181.64636159999668,1,184.662054399997,1,,186.2216447999999,186.2216447999999,193.49815039999783,2,9,"accepted, waited, rewarded, and collected"
27,193.53546239999682,20,1,193.80085760000347,194.20240640000253,0,,0,,,194.20240640000253,194.20240640000253,3,9,entered T junction then rejected and moved on
28,194.25921280000358,0,2,194.59317759999632,194.72590079999716,1,,0,195.02865919999778,,195.02865919999778,195.02865919999778,3,9,animal accepted but quit but quit wasnot timestamped
30,206.9766272,20,4,207.34177279999852,207.91116799999773,0,,0,,,207.91116799999773,208.67791359999777,3,9,entered T junction then rejected and moved on
31,195.06269439999758,100,3,195.39649279999733,195.49578239999713,1,196.7415680000037,1,,198.0765952000022,198.0765952000022,206.90815999999643,3,9,fetched offer tone
32,207.920115199998,20,1,208.31852799999714,208.51709440000354,1,,0,208.9187071999982,,208.9187071999982,208.9187071999982,3,9,animal accepted but quit but quit wasnot timestamped
33,208.9783423999995,20,2,209.30881279999764,209.47723520000278,1,,0,209.87706880000235,,209.87706880000235,209.87706880000235,3,9,animal accepted but quit but quit wasnot timestamped
34,209.8809728000015,80,3,210.1439104000032,210.37740799999983,1,213.64984319999814,1,,214.9126528000012,214.9126528000012,225.66289919999986,3,9,"accepted, waited, rewarded, and collected"
35,225.69948160000146,100,4,225.99777279999853,214.41870080000163,1,227.3684095999971,1,,228.7789695999995,228.7789695999995,270.61445120000093,3,9,"accepted, waited, rewarded, and collected"
36,269.88880640000104,20,1,270.19046400000155,270.48814079999926,0,,0,,,270.48814079999926,270.48814079999926,4,9,entered T junction then rejected and moved on
37,270.54914559999855,100,2,270.87884799999745,271.0136960000023,1,,0,271.6503808000013,,271.6503808000013,271.6503808000013,4,9,animal accepted but quit but quit wasnot timestamped
38,271.6514688000008,100,3,272.0147071999982,272.15023359999805,1,,0,273.91818240000305,,273.91818240000305,273.91818240000305,4,9,animal accepted but quit before outcome revealed
39,,,4,,,0,,0,,,,275.18786559999734,0,10,
40,,,3,,,0,,0,,,,289.50254079999775,0,10,
41,289.5365503999963,80,4,289.8688640000001,288.4338047999963,1,293.1843200000003,0,,,293.1843200000003,298.4445439999998,0,11,"accepted, waited, no-reward"
42,297.9207167999968,20,1,298.2531199999973,298.58759679999946,0,,0,,,298.58759679999946,298.58759679999946,1,11,entered T junction then rejected and moved on
43,298.6462976000011,20,2,299.0112128000036,299.1121023999974,1,304.3953280000016,0,,,304.3953280000016,304.88732159999756,1,11,"accepted, waited, no-reward"
44,304.888,0,3,305.25340160000326,305.35348480000346,1,,0,305.6244223999977,,305.6244223999977,305.6244223999977,1,11,animal accepted but quit but quit wasnot timestamped
45,305.6891264000013,0,4,306.0208127999976,306.62067199999836,1,,0,307.45748480000344,,307.45748480000344,308.7243008000031,1,11,animal accepted but quit before outcome revealed
46,307.6315776000023,80,1,308.0312832000032,308.1972224000022,1,311.3337343999967,1,,312.59048960000274,312.59048960000274,327.02159359999746,2,11,"accepted, waited, rewarded, and collected"
47,,,4,,,0,,0,,,,317.4016384000033,0,12,
48,327.0455040000007,0,2,327.34419200000167,327.6796928000003,0,,0,,,327.6796928000003,327.6796928000003,0,13,entered T junction then rejected and moved on
49,327.6804095999971,20,3,328.01208320000023,328.1804160000011,1,333.56078079999986,0,,,333.56078079999986,337.66023680000006,0,13,"accepted, waited, no-reward"
50,337.693427199997,20,4,338.0227584000006,328.44592639999837,1,,0,339.3256319999993,,339.3256319999993,339.5263871999979,0,13,animal accepted but quit before outcome revealed
51,339.5336447999999,20,1,339.83609600000085,340.46810880000146,0,,0,,,340.46810880000146,340.46810880000146,1,13,entered T junction then rejected and moved on
52,,,4,,,0,,0,,,,339.89670400000364,0,14,
53,340.52774400000277,80,2,340.9259519999996,341.02702080000194,1,344.2446335999966,1,,345.75056639999895,345.75056639999895,350.6371071999967,0,15,"accepted, waited, rewarded, and collected"
54,,,4,,,0,,0,,,,345.86863359999654,0,16,
55,,,2,,,0,,0,,,,356.77890559999645,0,16,
56,,,4,,,0,,0,,,,355.5756543999985,0,16,
57,356.81418240000306,80,3,357.3121920000017,357.51558399999885,1,,0,357.9811199999973,,357.9811199999973,358.01396480000017,0,17,animal accepted but quit but quit wasnot timestamped
58,358.28078079999983,20,4,358.679935999997,358.1796863999963,1,,0,361.7846015999988,,361.7846015999988,362.35207680000366,0,17,animal accepted but quit before outcome revealed
60,,,4,,,0,,0,,,,363.2523903999999,0,18,
61,361.9597823999971,80,1,362.2592128000036,364.9960960000008,1,365.7033599999994,1,,366.9532672000006,366.9532672000006,371.269311999999,0,19,fetched offer tone
62,,,4,,,0,,0,,,,371.6955648000017,0,20,
63,,,1,,,0,,0,,,,374.54030080000314,0,20,
64,374.56956159999964,20,2,374.8319871999994,374.9648896000013,1,,0,375.16844799999893,,375.16844799999893,375.16844799999893,0,21,animal accepted but quit but quit wasnot timestamped
65,375.1694208000004,0,3,375.4658047999963,375.5667199999988,0,,0,,,375.5667199999988,375.5667199999988,0,21,entered T junction but never entered restaurant
67,,,3,,,0,,0,,,,376.60227839999646,0,22,
68,376.66949120000004,80,4,377.0006400000006,376.700799999997,1,380.37159679999945,1,,381.75769600000234,381.75769600000234,390.61555200000106,0,23,fetched offer tone
69,390.4585856000036,20,1,390.7255168000013,391.05936640000346,0,,0,,,391.05936640000346,391.05936640000346,1,23,entered T junction then rejected and moved on
71,,,4,,,0,,0,,,,392.05263359999657,0,24,
