trial_index,tone_onset,tone_prob,restaurant,T_Entry,choice,accept,outcome,reward,quit,collection,trial_end,exit,lapIndex,blockIndex,comment
0,,,4,,,0,,0,,,,167.74232320000232,0,0,
1,167.6426240000054,80,1,167.92125439999998,168.0216576000005,1,171.2298624000028,1,,,171.39080960000305,171.46749440000207,0,1,rewarded but pellet not taken
2,171.4782848000005,100,2,171.83376640000193,171.96762880000472,1,173.10978560000657,1,,,176.9735424000025,177.17391360000522,0,1,rewarded but pellet not taken
3,177.1882752000019,20,3,177.44614400000125,177.61327360000462,1,,0,181.51814400000126,,181.51814400000126,181.58686720000208,0,1,animal accepted but quit before outcome revealed
4,181.69702400000392,80,4,182.29176319999993,182.49200640000402,1,185.81405440000444,1,,189.9739648000002,189.9739648000002,194.30887680000066,0,1,"accepted, waited, rewarded, and collected"
5,194.3179776000008,20,1,194.61701120000333,194.75077120000125,1,199.8949120000005,0,,,199.8949120000005,202.75970560000093,1,1,"accepted, waited, no-reward"
6,202.8062080000043,80,2,203.46996480000018,203.57047040000558,1,206.98711040000617,1,,210.51205120000242,210.51205120000242,220.32276480000465,1,1,"accepted, waited, rewarded, and collected"
7,220.26248960000277,20,3,220.72879360000044,220.82912000000476,1,226.0376704000011,0,,,226.0376704000011,231.4752128000036,1,1,"accepted, waited, no-reward"
8,231.51635200000555,0,4,231.8476160000041,231.91415040000527,1,,0,234.717888000004,,234.717888000004,234.78671360000223,1,1,animal accepted but quit before outcome revealed
9,234.79708160000294,80,1,234.99599360000343,235.16339200000465,1,238.27904000000655,1,,240.14920960000157,240.14920960000157,247.87783680000157,2,1,"accepted, waited, rewarded, and collected"
10,247.92171520000696,20,2,248.25596160000563,248.35624960000067,1,,0,252.92705280000717,,252.92705280000717,253.06077440000325,2,1,animal accepted but quit before outcome revealed
11,253.0679552000016,0,3,253.3665664000064,253.46790400000663,1,,0,259.20601600000265,,259.20601600000265,259.3403776000068,2,1,animal accepted but quit before outcome revealed
12,259.41304320000114,80,4,259.812633600004,259.912460800007,1,263.0903040000051,0,,,263.0903040000051,265.4863360000029,2,1,"accepted, waited, no-reward"
13,265.53381120000034,100,1,265.764633600004,265.99784960000216,1,267.26677760000524,1,,268.73372160000355,268.73372160000355,283.351948800005,3,1,"accepted, waited, rewarded, and collected"
