,event_description,timestamp,event_code,restaurant
0,SHARP Exit R4,166.2066176000014,72,4
0,SHARP Accept R4,166.50714880000055,71,4
0,SHARP Exit R4,166.97416960000245,72,4
0,SHARP Exit R4,167.141260800004,72,4
0,Mouse in offer zone 1,167.58712320000677,10,1
0,R1 reward tone,167.6365952000022,14,1
0,R1 80% offer,167.6426240000054,19,1
0,Quit R4,167.74232320000232,49,4
0,SHARP Entry R1,167.92125439999998,61,1
0,SHARP Accept R1,168.0216576000005,62,1
0,Enter R1,168.15550720000266,11,1
0,SHARP Accept R1,171.09012480000408,62,1
0,SHARP Entry R1,171.0901888000071,61,1
0,Servo 1 open,171.2298624000028,1,1
0,Quit R1,171.39080960000305,13,1
0,SHARP Exit R1,171.4241536000073,63,1
0,Mouse in hall 2,171.4576256000027,21,2
0,Reject R1,171.46749440000207,12,1
0,Servo 1 closed,171.4679808000028,2,1
0,Mouse in offer zone 2,171.46801920000465,22,2
0,Reject R1,171.47005440000444,12,1
0,Servo 1 closed,171.47052800000458,2,1
0,R2 reward tone,171.4782080000043,26,2
0,R2 100% offer,171.4782848000005,32,2
0,SHARP Entry R2,171.83376640000193,64,2
0,SHARP Accept R2,171.96762880000472,65,2
0,Enter R2,172.10142720000445,23,2
0,SHARP Accept R2,172.56808960000424,65,2
0,Servo 2 open,173.10978560000657,3,2
0,SHARP Accept R2,176.17224960000067,65,2
0,Quit R2,176.9735424000025,25,2
0,SHARP Exit R2,177.00680960000307,66,2
0,Mouse in hall 3,177.07333120000362,33,3
0,Servo 2 closed,177.17387520000338,4,2
0,Reject R2,177.17391360000522,24,2
0,Mouse in offer zone 3,177.18016000000387,34,3
0,Servo 2 closed,177.1825536000058,4,2
0,Reject R2,177.18260480000077,24,2
0,R3 no-reward tone,177.18823680000008,39,3
0,R3 20% offer,177.1882752000019,42,3
0,SHARP Entry R3,177.44614400000125,67,3
0,SHARP Accept R3,177.61327360000462,68,3
0,SHARP Exit R3,177.81344000000507,69,3
0,Enter R3,177.9469952000007,35,3
0,SHARP Entry R3,178.31388159999997,67,3
0,SHARP Accept R3,180.21639680000393,68,3
0,SHARP Exit R3,181.51738880000264,69,3
0,Quit R3,181.51814400000126,37,3
0,Mouse in hall 4,181.58448640000074,45,4
0,Servo 3 closed,181.58685440000147,6,3
0,Reject R3,181.58686720000208,36,3
0,Servo 3 closed,181.61812480000407,6,3
0,Reject R3,181.61816320000588,36,3
0,Mouse in offer zone 4,181.6921984000057,46,4
0,R4 reward tone,181.6969856000021,50,4
0,R4 80% offer,181.69702400000392,55,4
0,SHARP Entry R4,182.29176319999993,70,4
0,SHARP Accept R4,182.49200640000402,71,4
0,Enter R4,182.7919360000044,47,4
0,Servo 4 open,185.81405440000444,7,4
0,R4 reward taken,189.9739648000002,52,4
0,SHARP Accept R4,193.17040640000255,71,4
0,SHARP Exit R4,194.17172480000556,72,4
0,Quit R4,194.1719680000022,49,4
0,Servo 4 closed,194.30886400000006,8,4
0,Reject R4,194.30887680000066,48,4
0,Mouse in offer zone 1,194.31729920000583,10,1
0,Servo 4 closed,194.3175680000037,8,4
0,Reject R4,194.3175808000043,48,4
0,R1 no-reward tone,194.31792640000583,15,1
0,R1 20% offer,194.3179776000008,18,1
0,SHARP Entry R1,194.61701120000333,61,1
0,SHARP Accept R1,194.75077120000125,62,1
0,Enter R1,194.88389120000602,11,1
0,SHARP Entry R1,195.45146880000084,61,1
0,SHARP Entry R1,198.02277120000124,61,1
0,SHARP Entry R1,198.72352000000328,61,1
0,SHARP Entry R1,199.62311680000275,61,1
0,SHARP Entry R1,199.69166080000252,61,1
0,R1 no-reward tone,199.8949120000005,15,1
0,SHARP Entry R1,201.86100480000675,61,1
0,SHARP Accept R1,201.8949248000011,62,1
0,SHARP Entry R1,202.03038720000535,61,1
0,SHARP Entry R1,202.12711680000277,61,1
0,SHARP Entry R1,202.32704000000655,61,1
0,SHARP Exit R1,202.5603456000015,63,1
0,Quit R1,202.5605632000044,13,1
0,Mouse in hall 2,202.6596096000001,21,2
0,Reject R1,202.75970560000093,12,1
0,Servo 1 closed,202.76011520000546,2,1
0,Mouse in offer zone 2,202.80368640000373,22,2
0,R2 reward tone,202.80614400000124,26,2
0,R2 80% offer,202.8062080000043,31,2
0,Reject R1,202.8062464000061,12,1
0,Servo 1 closed,202.80665600000322,2,1
0,SHARP Entry R2,203.46996480000018,64,2
0,SHARP Accept R2,203.57047040000558,65,2
0,Enter R2,203.9705600000024,23,2
0,SHARP Accept R2,205.10542080000042,65,2
0,SHARP Accept R2,205.30567680000513,65,2
0,Servo 2 open,206.98711040000617,3,2
0,SHARP Accept R2,207.20756480000168,65,2
0,SHARP Accept R2,207.77520640000702,65,2
0,SHARP Accept R2,207.8418432000056,65,2
0,SHARP Accept R2,207.9416704000011,65,2
0,SHARP Entry R2,210.21082880000026,64,2
0,R2 reward taken,210.51205120000242,28,2
0,SHARP Entry R2,211.74612480000405,64,2
0,SHARP Entry R2,215.18417920000107,64,2
0,SHARP Accept R2,219.22145280000566,65,2
0,Quit R2,220.02211840000004,25,2
0,SHARP Exit R2,220.0556160000041,66,2
0,Mouse in hall 3,220.0890112000033,33,3
0,Servo 2 closed,220.25680640000104,4,2
0,Reject R2,220.25684480000288,24,2
0,Mouse in offer zone 3,220.26191360000522,34,3
0,R3 no-reward tone,220.26243840000032,39,3
0,R3 20% offer,220.26248960000277,42,3
0,Servo 2 closed,220.26270720000565,4,2
0,Reject R2,220.26273280000686,24,2
0,SHARP Accept R2,220.32276480000465,65,2
0,SHARP Entry R3,220.72879360000044,67,3
0,SHARP Accept R3,220.82912000000476,68,3
0,Enter R3,221.02940160000324,35,3
0,SHARP Entry R3,221.09585920000077,67,3
0,R3 no-reward tone,226.0376704000011,39,3
0,SHARP Accept R3,228.97402880000323,68,3
0,SHARP Exit R3,231.4079360000044,69,3
0,Quit R3,231.40811520000548,37,3
0,Mouse in hall 4,231.44106240000576,45,4
0,Servo 3 closed,231.47518720000238,6,3
0,Reject R3,231.4752128000036,36,3
0,Mouse in offer zone 4,231.51440640000254,46,4
0,R4 no-reward tone,231.5163136000037,51,4
0,R4 0% offer,231.51635200000555,53,4
0,Servo 3 closed,231.51664640000462,6,3
0,Reject R3,231.51667200000585,36,3
0,SHARP Entry R4,231.8476160000041,70,4
0,SHARP Accept R4,231.91415040000527,71,4
0,Enter R4,232.04774400000275,47,4
0,SHARP Accept R4,233.34938880000263,71,4
0,SHARP Accept R4,233.54976000000536,71,4
0,SHARP Accept R4,233.68316160000114,71,4
0,SHARP Accept R4,233.74993920000642,71,4
0,SHARP Accept R4,234.0835200000033,71,4
0,SHARP Exit R4,234.71768320000172,72,4
0,Quit R4,234.717888000004,49,4
0,Servo 4 closed,234.78668800000102,8,4
0,Reject R4,234.78671360000223,48,4
0,Mouse in offer zone 1,234.7965312000066,10,1
0,Servo 4 closed,234.79676160000264,8,4
0,Reject R4,234.79677440000324,48,4
0,R1 reward tone,234.79703040000052,14,1
0,R1 80% offer,234.79708160000294,19,1
0,SHARP Entry R1,234.99599360000343,61,1
0,SHARP Accept R1,235.16339200000465,62,1
0,Enter R1,235.26343680000306,11,1
0,SHARP Entry R1,235.2966656000018,61,1
0,SHARP Accept R1,237.23180800000577,62,1
