trial_index,tone_onset,tone_prob,restaurant,T_Entry,choice,accept,outcome,reward,quit,collection,trial_end,exit,lapIndex,blockIndex,comment
0,,,4,,,0,,0,,,,208.5156736000031,0,0,
1,208.56819200000166,100,1,208.7761408000067,208.90945280000568,1,210.05456640000642,1,,211.2905984000042,211.2905984000042,234.27104000000656,0,1,"accepted, waited, rewarded, and collected"
2,234.28046080000698,100,2,235.0038656000048,235.13800960000606,1,236.5612160000056,1,,237.84755200000106,237.84755200000106,251.99102720000596,0,1,"accepted, waited, rewarded, and collected"
3,252.0163328000009,100,3,252.5789824000001,252.7437184000015,1,,0,253.17905920000373,,253.17905920000373,269.59837440000473,0,1,animal accepted but quit before outcome revealed
4,269.69011200000347,0,4,270.0183680000007,270.0849408000037,1,,0,274.52746240000425,,274.52746240000425,274.7586816000044,0,1,animal accepted but quit before outcome revealed
5,274.82147840000687,100,1,275.21968640000375,275.3858560000062,1,276.5776640000045,1,,277.8813440000042,277.8813440000042,288.0015104000047,1,1,"accepted, waited, rewarded, and collected"
6,288.0068352000043,100,2,288.4016000000015,288.50145280000567,1,289.6679680000022,1,,291.0022784000039,291.0022784000039,301.4472448000014,1,1,"accepted, waited, rewarded, and collected"
7,301.46666240000724,100,3,301.79987200000136,301.9340800000057,1,,0,302.3668096000031,,302.3668096000031,310.27673600000145,1,1,animal accepted but quit before outcome revealed
8,310.67070720000567,100,4,311.30159360000494,311.3335168000013,1,312.46913280000535,1,,313.8229888000041,313.8229888000041,323.8838784000054,1,1,"accepted, waited, rewarded, and collected"
9,323.9135744000003,100,1,324.17808640000226,324.3117824000046,1,325.3812352000028,1,,326.5421056000069,326.5421056000069,333.99129600000384,2,1,"accepted, waited, rewarded, and collected"
10,334.02579200000315,0,2,334.32229120000454,334.3888512000069,1,,0,339.7588096000031,,339.7588096000031,340.46186240000276,2,1,animal accepted but quit before outcome revealed
11,340.4809088000059,100,3,340.8444800000042,340.9444480000064,1,,0,341.41107200000437,,341.41107200000437,346.9184256000072,2,1,animal accepted but quit before outcome revealed
12,346.9746688000038,100,4,347.84017920000105,347.90682880000026,1,349.07575040000677,1,,350.3296640000045,350.3296640000045,384.4461952000037,2,1,"accepted, waited, rewarded, and collected"
13,384.4470784000009,100,1,384.6839296000004,384.77908480000497,1,385.8483584000021,1,,387.23808000000565,387.23808000000565,395.323200000003,3,1,"accepted, waited, rewarded, and collected"
14,,,2,,,0,,0,,,,400.5263232000023,0,2,
15,,,3,,,0,,0,,,,415.22977280000595,0,2,
16,,,4,,,0,,0,,,,420.024064000003,0,2,
17,,,1,,,0,,0,,,,422.1543936000019,0,2,
18,422.6584832000062,0,2,423.02183680000155,423.1200256000012,1,,0,425.45852160000055,,425.45852160000055,426.09905920000375,0,3,animal accepted but quit before outcome revealed
19,426.14315520000457,100,3,426.47697920000553,426.60848640000074,1,427.8134400000051,1,,429.02118400000035,429.02118400000035,438.82384640000015,0,3,"accepted, waited, rewarded, and collected"
20,438.9117312000021,100,4,439.37725439999997,439.48198400000484,1,440.6127104000002,1,,442.09680640000107,442.09680640000107,459.13488640000674,0,3,"accepted, waited, rewarded, and collected"
21,459.1668992000073,100,1,459.56759040000287,459.7332480000034,1,460.91408640000225,1,,462.1032832000032,462.1032832000032,487.7296384000033,1,3,"accepted, waited, rewarded, and collected"
22,,,4,,,0,,0,,,,486.0992128000036,0,4,
23,488.4328704000041,100,2,489.02727680000663,489.1947264000028,1,490.4193024000004,1,,491.9741568000019,491.9741568000019,500.64115200000253,0,5,"accepted, waited, rewarded, and collected"
24,500.73434880000354,0,3,501.4942336000055,502.59572480000554,0,,0,,,502.59572480000554,502.59572480000554,0,5,entered T junction then rejected and moved on
25,502.6496640000045,0,4,502.94991360000523,503.0160256000012,1,,0,505.79207680000366,,505.79207680000366,507.6690175999999,0,5,animal accepted but quit before outcome revealed
26,,,3,,,0,,0,,,,512.3438720000014,0,6,
27,,,4,,,0,,0,,,,515.9660288000032,0,6,
28,515.9671040000021,100,1,516.2975616000072,516.4625280000046,1,517.5785856000036,1,,518.8997248000055,518.8997248000055,527.7434624000043,0,7,"accepted, waited, rewarded, and collected"
29,527.7719808000028,100,2,528.4386560000032,528.5388544000015,1,529.9865600000023,1,,531.3523712000027,531.3523712000027,539.356697600007,0,7,"accepted, waited, rewarded, and collected"
30,539.4089728000015,100,3,539.805324800007,539.9745408000052,1,541.2415744000002,1,,542.6091776000038,542.6091776000038,558.0932736000046,0,7,"accepted, waited, rewarded, and collected"
31,558.1458815999999,100,4,558.4114304000065,558.4451328000054,1,559.5555968000069,1,,570.5136640000045,570.5136640000045,614.7086208000034,0,7,"accepted, waited, rewarded, and collected"
32,586.7439616000056,100,1,587.010752000004,587.1434624000043,1,588.2592128000036,1,,590.1112448000014,590.1112448000014,625.9513728000001,1,7,"accepted, waited, rewarded, and collected"
33,625.9513472000062,100,2,626.2172160000056,626.2839552000016,1,627.453888000004,1,,629.0835200000033,629.0835200000033,638.3649024000019,1,7,"accepted, waited, rewarded, and collected"
34,638.418009600006,100,3,638.8527104000002,640.3194624000042,1,641.8250496000052,1,,643.2775808000043,643.2775808000043,657.3434240000024,1,7,"accepted, waited, rewarded, and collected"
35,657.4303872000054,100,4,657.7912832000032,657.8573056000024,1,659.0597631999999,1,,660.5968384000063,660.5968384000063,677.080576000005,1,7,"accepted, waited, rewarded, and collected"
36,677.1483520000055,100,1,677.4145024000034,677.5482368,1,678.7276032000035,1,,680.1653888000027,680.1653888000027,681.385651200004,2,7,"accepted, waited, rewarded, and collected"
37,681.4144768000021,100,2,681.7164672000035,682.0805120000019,1,,0,683.0509952000007,,683.0509952000007,683.0509952000007,2,7,animal accepted but quit but quit wasnot timestamped
38,683.1037440000027,100,3,683.4380288000033,683.6095232000052,1,,0,684.3055872000009,,684.3055872000009,687.3410560000017,2,7,animal accepted but quit before outcome revealed
39,687.6606080000028,100,4,688.4252160000055,688.5267200000062,1,689.6941696000025,1,,691.0001024000048,691.0001024000048,702.6148480000049,2,7,"accepted, waited, rewarded, and collected"
40,702.6838400000036,100,1,703.113203200005,704.6124032000005,1,705.8354304000064,1,,707.1688960000054,707.1688960000054,708.2516736000031,3,7,"accepted, waited, rewarded, and collected"
41,708.2792960000038,100,2,708.611084800005,708.8786816000045,1,,0,710.1516416000053,,710.1516416000053,710.1516416000053,3,7,animal accepted but quit but quit wasnot timestamped
42,710.2389504000023,100,3,710.6657792000026,710.8327552000061,1,,0,711.4338816,,711.4338816,746.7073920000047,3,7,animal accepted but quit before outcome revealed
43,716.1970560000017,100,4,716.7242624000013,716.8248448000029,1,717.9627008000016,1,,719.1382144000008,719.1382144000008,732.2761728000045,3,7,"accepted, waited, rewarded, and collected"
44,732.3451008000002,100,1,732.6447744000033,732.9827968000025,1,734.2525312000066,1,,,734.3833984000013,735.5452288000062,4,7,rewarded but pellet not taken
45,,,4,,,0,,0,,,,740.8183552000002,0,8,
46,,,2,,,0,,0,,,,755.5002752000019,0,8,
47,,,1,,,0,,0,,,,776.9624320000038,0,8,
48,,,4,,,0,,0,,,,765.9133824000061,0,8,
49,,,3,,,0,,0,,,,776.0431744000018,0,8,
50,,,4,,,0,,0,,,,790.3427584000007,0,8,
51,809.2825472000018,100,3,810.9804032000005,810.9804032000005,0,,0,,,810.9804032000005,810.9804032000005,0,9,entered T junction but never entered restaurant
52,791.5460992000028,100,2,791.974400000006,792.1067648000046,1,793.3094528000057,1,,794.4990976000056,794.4990976000056,809.0932736000046,0,9,"accepted, waited, rewarded, and collected"
53,812.474240000002,100,4,814.1055488000065,814.1719168000072,1,815.3103744000048,1,,816.5951104000062,816.5951104000062,841.2996992000043,0,9,"accepted, waited, rewarded, and collected"
54,841.336512000002,0,1,841.804518400006,842.0046848000064,1,,0,843.9757824000046,,843.9757824000046,846.1477760000006,1,9,animal accepted but quit before outcome revealed
55,846.2096128000021,100,2,846.870451200001,846.9707264000028,1,848.1818624000027,1,,849.5510912000016,849.5510912000016,857.4477952000052,1,9,"accepted, waited, rewarded, and collected"
56,857.5344128000065,0,3,858.0058624000028,858.1674368000031,1,,0,858.5703936000019,,858.5703936000019,873.5881088000015,1,9,animal accepted but quit before outcome revealed
57,873.7368576000035,100,4,874.2024448000044,874.3023616000041,1,875.4375936000049,1,,876.8936576000006,876.8936576000006,935.1753856000006,1,9,"accepted, waited, rewarded, and collected"
58,935.2129536000043,0,1,935.4761728000045,935.5760896000043,1,,0,940.3170175999999,,940.3170175999999,940.4442112000063,2,9,animal accepted but quit before outcome revealed
59,940.4451328000054,0,2,940.7104896000028,940.7815168000012,1,,0,942.4809088000059,,942.4809088000059,942.6475264000073,2,9,animal accepted but quit before outcome revealed
60,942.6688128000051,0,3,942.9311872000023,943.0331648000032,1,,0,948.0727936000004,,948.0727936000004,948.3734528000057,2,9,animal accepted but quit before outcome revealed
61,948.4565632000044,100,4,949.4566144000069,949.5207808000073,1,950.664908800006,1,,952.0373632000014,952.0373632000014,965.8758784000054,2,9,"accepted, waited, rewarded, and collected"
62,966.6146560000033,100,1,967.215590400003,967.3492992000058,1,968.4924032000006,1,,969.6885248000026,969.6885248000026,990.4740480000004,3,9,"accepted, waited, rewarded, and collected"
63,991.9011072000042,100,2,994.571379200004,995.1711359999999,1,997.2922496000007,1,,,999.7437952000051,1002.4473344000056,3,9,rewarded but pellet not taken
64,1002.5336192000061,100,3,1003.0017920000032,1004.500748800002,1,,0,1005.202752000004,,1005.202752000004,1005.202752000004,3,9,animal accepted but quit but quit wasnot timestamped
65,1005.2515328000039,100,4,1005.5847936000005,1005.651891200006,1,1006.9547392000035,1,,1008.5794816000015,1008.5794816000015,1037.3230080000012,3,9,"accepted, waited, rewarded, and collected"
66,1037.3950720000043,0,1,1037.7259648000002,1038.1939584000036,0,,0,,,1038.1939584000036,1038.1939584000036,4,9,entered T junction then rejected and moved on
67,1038.2207872000038,100,2,1039.5217024000065,1042.9948288000003,1,1044.6284928000048,1,,1046.7661312000007,1046.7661312000007,1059.9798400000036,4,9,"accepted, waited, rewarded, and collected"
68,1067.9436032000035,100,3,1068.9764480000065,1070.2456576000004,1,1071.3805440000071,1,,1072.9050112000034,1072.9050112000034,1082.3055104000048,4,9,"accepted, waited, rewarded, and collected"
69,1082.3052672000006,100,4,1082.8387456,1082.9056384000032,1,1084.0869760000035,1,,,1091.7508224000037,1106.1009664000048,4,9,rewarded but pellet not taken
70,1107.5758080000057,100,1,1108.0402944000066,1108.409792000003,1,1110.0779520000071,1,,1111.452121600002,1111.452121600002,1119.5477248000057,5,9,"accepted, waited, rewarded, and collected"
71,1119.5486464000046,100,2,1122.8172544,1123.9852800000012,0,,0,,,1123.9852800000012,1123.9852800000012,5,9,entered T junction then rejected and moved on
72,1124.073792000003,100,3,1127.3769216000064,1128.3463168000058,1,,0,1128.9799680000021,,1128.9799680000021,1131.3799168000073,5,9,animal accepted but quit before outcome revealed
73,1131.4624256000072,100,4,1132.2957568000033,1132.3621120000034,1,1133.4978048000037,1,,1134.6903296000064,1134.6903296000064,1142.1929472000004,5,9,"accepted, waited, rewarded, and collected"
74,,,3,,,0,,0,,,,1146.8306688000039,0,10,
75,,,2,,,0,,0,,,,1151.1827200000062,0,10,
76,,,4,,,0,,0,,,,1216.122752000004,0,10,
77,,,3,,,0,,0,,,,1173.3609472000003,0,10,
78,1209.082867200002,100,2,,1211.4567040000036,0,,0,,,1211.4567040000036,1211.4567040000036,0,11,rejected offer but t junction entry not detected
79,1206.919654400006,100,1,1195.0394240000026,1192.906163200006,1,,0,1209.0212992000058,,1209.0212992000058,1213.4259968000054,0,11,animal accepted but quit but quit wasnot timestamped
80,,,3,,,0,,0,,,,1241.6050048000068,0,12,
81,,,2,,,0,,0,,,,1259.1722880000025,0,12,
82,1259.3261568000019,0,3,1252.885708800003,1251.8171008000002,1,,0,1263.5634560000003,,1263.5634560000003,1264.4693504000008,0,13,animal accepted but quit before outcome revealed
83,1264.578419200003,0,4,1265.0127616000027,1265.0470144000053,1,1272.2360576000065,0,,,1272.2360576000065,1283.5670016000047,0,13,"accepted, waited, no-reward"
84,1289.2150912000016,0,1,1312.439833600007,1312.439833600007,0,,0,,,1312.439833600007,1312.439833600007,1,13,entered T junction but never entered restaurant
85,,,4,,,0,,0,,,,1308.7607296000049,0,14,
86,1312.972851200007,100,2,1315.3714560000003,1315.6703104000017,1,1317.7736192000061,1,,,1326.3503104000017,1326.8197760000005,0,15,rewarded but pellet not taken
87,1326.839475200005,0,3,1327.2712960000038,1327.4712704000026,1,,0,1328.6409600000009,,1328.6409600000009,1328.6409600000009,0,15,animal accepted but quit but quit wasnot timestamped
88,1328.7535360000059,0,4,1329.3858816,1329.517772800006,1,,0,1330.1209600000009,,1330.1209600000009,1330.1209600000009,0,15,animal accepted but quit but quit wasnot timestamped
89,1330.1951872000025,100,1,1330.6941184,1331.1262592000066,1,1332.595494400002,1,,1334.2658176000043,1334.2658176000043,1342.205478400007,1,15,"accepted, waited, rewarded, and collected"
90,1342.2356352000013,100,2,1345.1705087999999,1345.6377216000035,1,,0,1347.439948800005,,1347.439948800005,1347.439948800005,1,15,animal accepted but quit but quit wasnot timestamped
91,1347.5600384000018,100,3,1350.202752000004,1350.3963776000069,1,1351.5644416000023,1,,1353.076096000001,1353.076096000001,1363.8119296000004,1,15,"accepted, waited, rewarded, and collected"
92,1363.9906176000013,100,4,1364.8912384000048,1365.024422400005,1,1366.2364928000047,1,,1367.6837632,1367.6837632,1382.9536512000038,1,15,"accepted, waited, rewarded, and collected"
93,1382.9948544000015,100,1,1383.318579200007,1383.5582720000073,1,1384.7601920000018,1,,1386.1992320000008,1386.1992320000008,1387.8912256000042,2,15,"accepted, waited, rewarded, and collected"
94,1387.9201408000067,100,2,1388.7238528000041,1389.123942400001,1,1390.3727744000032,1,,1392.2048384000063,1392.2048384000063,1409.3799296000004,2,15,"accepted, waited, rewarded, and collected"
