trial_index,tone_onset,tone_prob,restaurant,T_Entry,choice,accept,outcome,reward,quit,collection,trial_end,exit,lapIndex,blockIndex,comment
1,16.806809599995614,0,1,17.184921599999072,17.685401599995792,0,,0,,,17.685401599995792,17.685401599995792,0,1,entered T junction then rejected and moved on
2,17.746355200000107,100,2,18.23151359999925,18.701145599998533,1,,0,19.03303679999709,,19.03303679999709,19.03303679999709,0,1,animal accepted but quit but quit wasnot timestamped
3,19.03982079999894,100,3,19.365824000000952,19.66554879999906,1,21.057100800000132,1,,,23.73573119999468,23.805465599998833,0,1,rewarded but pellet not taken
4,23.918732799999415,100,4,24.14713599999994,24.214732799999418,1,25.366067199997605,1,,32.427647999994456,32.427647999994456,59.944627199999985,0,1,"accepted, waited, rewarded, and collected"
7,69.61095679999887,0,1,69.94353920000046,70.31176959999651,1,77.73931519999356,0,,,77.73931519999356,78.38635520000011,0,3,"accepted, waited, no-reward"
8,78.43391999999434,100,2,79.00115199999512,79.23455999999493,1,80.47665919999778,1,,85.02891519999504,85.02891519999504,101.94776319999993,0,3,"accepted, waited, rewarded, and collected"
11,134.89679360000045,100,3,130.55781120000034,128.28984319999813,1,,0,130.62519039999694,,130.62519039999694,135.89753599999844,0,5,animal accepted but quit before outcome revealed
13,135.9413504000008,100,4,136.2750847999975,136.37464319999515,1,137.6841471999958,1,,139.81693439999967,139.81693439999967,146.65304319999368,0,7,"accepted, waited, rewarded, and collected"
14,146.6990591999963,100,1,147.2651391999945,147.89930240000038,1,,0,148.60056319999694,,148.60056319999694,148.60056319999694,1,7,animal accepted but quit but quit wasnot timestamped
15,148.68090879999846,100,2,149.1823743999973,151.18255359999836,0,,0,,,151.18255359999836,151.18255359999836,1,7,entered T junction then rejected and moved on
16,151.3164159999937,100,3,151.81555199999363,153.45108479999752,0,,0,,,153.45108479999752,153.45108479999752,1,7,entered T junction then rejected and moved on
17,153.82826239999383,100,4,154.32788479999454,154.32788479999454,0,,0,,,154.32788479999454,154.32788479999454,1,7,entered T junction but never entered restaurant
18,154.94155519999563,100,1,155.5104895999953,156.01134079999477,0,,0,,,156.01134079999477,156.01134079999477,2,7,entered T junction then rejected and moved on
19,156.02172159999608,100,2,156.3550719999969,156.521369599998,1,157.95845120000095,1,,159.4797311999947,159.4797311999947,170.437311999999,2,7,"accepted, waited, rewarded, and collected"
25,223.63224319999665,100,3,223.99736319999397,224.73144319999963,1,225.86702079999446,1,,,227.7033343999982,231.5736191999987,0,9,rewarded but pellet not taken
27,241.728,100,4,242.22719999999552,242.32789759999514,1,,0,242.5953791999966,,242.5953791999966,242.5953791999966,0,11,animal accepted but quit but quit wasnot timestamped
28,242.6416895999983,100,1,243.4086400000006,243.70959359999745,0,,0,,,243.70959359999745,243.70959359999745,1,11,entered T junction then rejected and moved on
29,243.78856959999354,100,2,244.1883519999981,244.72680959999562,0,,0,,,244.72680959999562,244.72680959999562,1,11,entered T junction then rejected and moved on
30,244.72782079999894,100,3,245.5217919999957,245.7590911999941,1,246.96070399999618,1,,,247.22548479999602,248.62785279999673,1,11,rewarded but pellet not taken
37,292.15224319999663,0,4,292.6182655999959,292.6850687999949,1,,0,294.31991039999576,,294.31991039999576,294.58883839999885,0,13,animal accepted but quit before outcome revealed
38,294.6344063999951,0,1,297.7063935999945,297.7063935999945,0,,0,,,297.7063935999945,297.7063935999945,1,13,entered T junction but never entered restaurant
45,401.8709120000005,100,2,402.5379711999968,403.53683199999483,0,,0,,,403.53683199999483,403.53683199999483,0,15,entered T junction then rejected and moved on
46,403.56993279999494,0,3,404.0375167999938,410.31116799999774,1,,0,417.252799999997,,417.252799999997,417.252799999997,0,15,animal accepted but quit but quit wasnot timestamped
47,417.29388799999657,100,4,417.5261567999944,417.5932415999994,1,418.8613504000008,1,,420.5863807999939,420.5863807999939,449.56279039999845,0,15,"accepted, waited, rewarded, and collected"
48,450.21166079999506,100,1,451.3806591999978,454.7487104000002,1,,0,455.14988799999657,,455.14988799999657,455.14988799999657,1,15,animal accepted but quit
