,event_description,timestamp,event_code,restaurant,keyword
0,SHARP Entry R4,9.364070399999619,70,4,tentry
0,SHARP Accept R4,13.836313599996268,71,4,enter
0,Quit R4,15.938687999993563,49,4,quit
0,R1 0% offer,16.806809599995614,17,1,0_offer
0,SHARP Entry R1,17.184921599999072,61,1,tentry
0,Reject R1,17.685401599995792,12,1,reject
0,R2 100% offer,17.746355200000107,32,2,100_offer
0,SHARP Entry R2,18.23151359999925,64,2,tentry
0,SHARP Accept R2,18.701145599998533,65,2,enter
0,SHARP Entry R2,18.835839999996125,64,2,tentry
0,Reject R2,19.03303679999709,24,2,reject
0,R3 100% offer,19.03982079999894,44,3,100_offer
0,SHARP Entry R3,19.365824000000952,67,3,tentry
0,SHARP Accept R3,19.66554879999906,68,3,enter
0,Enter R3,20.031423999994992,35,3,enter
0,Servo 3 open,21.057100800000132,5,3,servo open
0,SHARP Accept R3,23.468723200000824,68,3,enter
0,Quit R3,23.73573119999468,37,3,quit
0,Reject R3,23.805465599998833,36,3,reject
0,R4 100% offer,23.918732799999415,56,4,100_offer
0,SHARP Entry R4,24.14713599999994,70,4,tentry
0,SHARP Accept R4,24.214732799999418,71,4,enter
0,Enter R4,24.34786559999734,47,4,enter
0,Servo 4 open,25.366067199997605,7,4,servo open
0,R4 reward taken,32.427647999994456,52,4,taken
0,SHARP Accept R4,47.84048640000075,71,4,enter
0,Quit R4,59.28792319999635,49,4,quit
0,SHARP Entry R4,59.35455999999493,70,4,tentry
0,Reject R4,59.944627199999985,48,4,reject
0,SHARP Accept R3,60.11083519999683,68,3,enter
0,Enter R3,60.17785599999875,35,3,enter
0,SHARP Accept R3,60.81151999999583,68,3,enter
0,Quit R3,62.747174399994314,37,3,quit
0,SHARP Entry R4,63.22529279999435,70,4,tentry
0,SHARP Accept R4,63.29132799999416,71,4,enter
0,Enter R4,63.42517759999633,47,4,enter
0,SHARP Accept R4,68.19910399999469,71,4,enter
0,Quit R4,68.96505599999428,49,4,quit
0,SHARP Entry R4,69.16465919999779,70,4,tentry
0,Reject R4,69.61061119999736,48,4,reject
0,R1 0% offer,69.61095679999887,17,1,0_offer
0,SHARP Entry R1,69.94353920000046,61,1,tentry
0,SHARP Accept R1,70.31176959999651,62,1,enter
0,Enter R1,70.67897599999607,11,1,enter
0,SHARP Accept R1,77.15162879999727,62,1,enter
0,R1 no-reward tone,77.73931519999356,15,1,noreward
0,Quit R1,78.11927039999514,13,1,quit
0,Reject R1,78.38635520000011,12,1,reject
0,R2 100% offer,78.43391999999434,32,2,100_offer
0,SHARP Entry R2,79.00115199999512,64,2,tentry
0,SHARP Accept R2,79.23455999999493,65,2,enter
0,Enter R2,79.46796799999476,23,2,enter
0,SHARP Accept R2,80.10188799999655,65,2,enter
0,Servo 2 open,80.47665919999778,3,2,servo open
0,R2 reward taken,85.02891519999504,28,2,taken
0,SHARP Accept R2,93.2500223999992,65,2,enter
0,Quit R2,101.1606272,25,2,quit
0,SHARP Entry R2,101.1923967999965,64,2,tentry
0,Reject R2,101.94776319999993,24,2,reject
0,Reject R1,78.43395839999616,12,1,reject
0,SHARP Accept R1,102.18078719999642,62,1,enter
0,Enter R1,102.54899199999869,11,1,enter
0,SHARP Accept R1,110.72330240000039,62,1,enter
0,Quit R1,113.65986559999735,13,1,quit
0,SHARP Entry R1,113.69311999999732,61,1,tentry
0,SHARP Accept R4,115.41720319999754,71,4,enter
0,Enter R4,115.58416640000046,47,4,enter
0,SHARP Accept R4,124.99791359999776,71,4,enter
0,Quit R4,126.19833599999546,49,4,quit
0,SHARP Entry R4,126.2649472000003,70,4,tentry
0,SHARP Accept R3,128.28984319999813,68,3,enter
0,Enter R3,128.35532799999416,35,3,enter
0,SHARP Entry R3,130.55781120000034,67,3,tentry
0,Quit R3,130.62519039999694,37,3,quit
0,R3 100% offer,134.89679360000045,44,3,100_offer
0,SHARP Entry R3,135.1963647999987,67,3,tentry
0,SHARP Accept R3,135.53066239999978,68,3,enter
0,Reject R3,135.89753599999844,36,3,reject
0,SHARP Accept R2,131.12632319999486,65,2,enter
0,Enter R2,131.22581759999693,23,2,enter
0,SHARP Accept R2,134.02917119999975,65,2,enter
0,Quit R2,134.76313599999995,25,2,quit
0,Reject R2,134.8971263999939,24,2,reject
0,R4 100% offer,135.9413504000008,56,4,100_offer
0,SHARP Entry R4,136.2750847999975,70,4,tentry
0,SHARP Accept R4,136.37464319999515,71,4,enter
0,Enter R4,136.67514880000056,47,4,enter
0,Servo 4 open,137.6841471999958,7,4,servo open
0,R4 reward taken,139.81693439999967,52,4,taken
0,Quit R4,146.18529279999436,49,4,quit
0,Reject R4,146.65304319999368,48,4,reject
0,R1 100% offer,146.6990591999963,20,1,100_offer
0,SHARP Entry R1,147.2651391999945,61,1,tentry
0,SHARP Accept R1,147.89930240000038,62,1,enter
0,Reject R1,148.60056319999694,12,1,reject
0,R2 100% offer,148.68090879999846,32,2,100_offer
0,SHARP Entry R2,149.1823743999973,64,2,tentry
0,Reject R2,151.18255359999836,24,2,reject
0,R3 100% offer,151.3164159999937,44,3,100_offer
0,SHARP Entry R3,151.81555199999363,67,3,tentry
0,Reject R3,153.45108479999752,36,3,reject
0,R4 100% offer,153.82826239999383,56,4,100_offer
0,Reject R4,153.86209279999883,48,4,reject
0,SHARP Entry R4,154.32788479999454,70,4,tentry
0,R1 100% offer,154.94155519999563,20,1,100_offer
0,SHARP Entry R1,155.5104895999953,61,1,tentry
0,Reject R1,156.01134079999477,12,1,reject
0,R2 100% offer,156.02172159999608,32,2,100_offer
0,SHARP Entry R2,156.3550719999969,64,2,tentry
0,SHARP Accept R2,156.521369599998,65,2,enter
0,Enter R2,156.95642879999428,23,2,enter
0,SHARP Accept R2,157.6900223999992,65,2,enter
0,Servo 2 open,157.95845120000095,3,2,servo open
0,SHARP Accept R2,158.05614079999924,65,2,enter
0,R2 reward taken,159.4797311999947,28,2,taken
0,SHARP Accept R2,163.49592319999635,65,2,enter
0,Reject R2,167.36820479999483,24,2,reject
0,SHARP Accept R2,167.66735359999538,65,2,enter
0,Quit R2,170.40481279999761,25,2,quit
0,SHARP Entry R2,170.437311999999,64,2,tentry
0,Reject R1,156.02177279999853,12,1,reject
0,SHARP Accept R1,172.22881279999763,62,1,enter
0,Enter R1,172.5624447999969,11,1,enter
0,SHARP Accept R1,181.13789440000056,62,1,enter
0,Quit R1,181.33795839999615,13,1,quit
0,SHARP Entry R1,181.3710847999975,61,1,tentry
0,SHARP Accept R1,215.2461567999944,62,1,enter
0,SHARP Accept R4,182.22597119999676,71,4,enter
0,Enter R4,182.86168319999427,47,4,enter
0,SHARP Accept R4,188.36655359999835,71,4,enter
0,SHARP Entry R4,192.8049919999987,70,4,tentry
0,Quit R4,192.8748671999946,49,4,quit
0,SHARP Accept R3,196.83453439999371,68,3,enter
0,Enter R3,196.93356799999626,35,3,enter
0,Quit R3,201.606054399997,37,3,quit
0,SHARP Accept R3,204.54452479999512,68,3,enter
0,Enter R3,204.54484479999542,35,3,enter
0,Quit R3,204.84279039999842,37,3,quit
0,SHARP Entry R4,205.7193471999988,70,4,tentry
0,SHARP Accept R4,205.91959039999546,71,4,enter
0,Enter R4,206.22339839999378,47,4,enter
0,Quit R4,211.66159359999747,49,4,quit
0,SHARP Entry R4,211.694796799995,70,4,tentry
0,SHARP Accept R4,213.09498879999668,71,4,enter
0,SHARP Entry R2,216.32707840000094,64,2,tentry
0,SHARP Accept R2,217.29169919999688,65,2,enter
0,Enter R2,217.65822719999403,23,2,enter
0,SHARP Accept R2,218.89347839999945,65,2,enter
0,SHARP Entry R2,220.22819839999823,64,2,tentry
0,Quit R2,220.2284543999955,25,2,quit
0,SHARP Entry R2,222.56450559999794,64,2,tentry
0,SHARP Accept R2,222.6974463999942,65,2,enter
0,SHARP Entry R2,222.9307263999954,64,2,tentry
0,R3 100% offer,223.63224319999665,44,3,100_offer
0,SHARP Entry R3,223.99736319999397,67,3,tentry
0,SHARP Accept R3,224.73144319999963,68,3,enter
0,Enter R3,224.86492159999906,35,3,enter
0,Servo 3 open,225.86702079999446,5,3,servo open
0,Quit R3,227.7033343999982,37,3,quit
0,Reject R3,228.47056639999897,36,3,reject
0,Enter R3,231.00595199999958,35,3,enter
0,Quit R3,231.03882239999623,37,3,quit
0,Enter R3,231.2390143999979,35,3,enter
0,SHARP Accept R3,231.2723071999997,68,3,enter
0,Quit R3,231.54015999999643,37,3,quit
0,SHARP Entry R3,231.5736191999987,67,3,tentry
0,SHARP Accept R2,232.5413247999996,65,2,enter
0,Enter R2,232.70887680000067,23,2,enter
0,SHARP Accept R2,234.476684799999,65,2,enter
0,Quit R2,237.0797695999965,25,2,quit
0,R4 100% offer,241.728,56,4,100_offer
0,SHARP Entry R4,242.22719999999552,70,4,tentry
0,SHARP Accept R4,242.32789759999514,71,4,enter
0,Reject R4,242.5953791999966,48,4,reject
0,R1 100% offer,242.6416895999983,20,1,100_offer
0,SHARP Entry R1,243.4086400000006,61,1,tentry
0,Reject R1,243.70959359999745,12,1,reject
0,R2 100% offer,243.78856959999354,32,2,100_offer
0,SHARP Entry R2,244.1883519999981,64,2,tentry
0,Reject R2,244.72680959999562,24,2,reject
0,R3 100% offer,244.72782079999894,44,3,100_offer
0,SHARP Entry R3,245.5217919999957,67,3,tentry
0,SHARP Accept R3,245.7590911999941,68,3,enter
0,Enter R3,245.95768319999428,35,3,enter
0,SHARP Entry R3,246.02434559999406,67,3,tentry
0,Servo 3 open,246.96070399999618,5,3,servo open
0,Quit R3,247.22548479999602,37,3,quit
0,SHARP Entry R3,247.6914047999978,67,3,tentry
0,Reject R3,248.62785279999673,36,3,reject
0,Reject R2,244.7280767999962,24,2,reject
0,SHARP Accept R2,250.09610239999742,65,2,enter
0,Enter R2,250.1982719999999,23,2,enter
0,Quit R2,250.6654591999948,25,2,quit
0,SHARP Entry R2,252.331481599994,64,2,tentry
0,SHARP Accept R1,253.38766079999507,62,1,enter
0,Enter R1,253.58801919999718,11,1,enter
0,SHARP Accept R1,261.6962047999948,62,1,enter
0,SHARP Entry R1,267.2356224000007,61,1,tentry
0,Quit R1,267.33561599999666,13,1,quit
0,SHARP Accept R4,268.32355839999764,71,4,enter
0,Enter R4,268.72453119999915,47,4,enter
0,SHARP Entry R4,271.76206079999355,70,4,tentry
0,Quit R4,271.7622399999946,49,4,quit
0,SHARP Entry R1,272.5770751999989,61,1,tentry
0,SHARP Accept R1,272.843481599994,62,1,enter
0,Enter R1,273.01146880000084,11,1,enter
0,SHARP Entry R1,273.8111615999937,61,1,tentry
