trial_index,tone_onset,tone_prob,restaurant,T_Entry,choice,accept,outcome,reward,quit,collection,trial_end,exit,lapIndex,blockIndex,comment
0,,,4,,,0,,0,,,,35.206054399996994,0,0,
1,35.381555200003085,0,1,35.64262399999797,35.74045440000295,1,,0,39.34481920000166,,39.34481920000166,39.44602879999578,0,1,animal accepted but quit before outcome revealed
2,39.46924799999595,100,2,39.695475199997425,39.761369599998,1,40.869580799996854,1,,42.6629504000023,42.6629504000023,46.07244799999893,0,1,"accepted, waited, rewarded, and collected"
3,46.085887999996544,0,3,46.2686080000028,46.36773120000213,1,,0,49.13849599999934,,49.13849599999934,49.24116480000317,0,1,animal accepted but quit before outcome revealed
4,49.29521920000017,20,4,49.521638399995865,49.58840320000053,1,,0,51.85845759999752,,51.85845759999752,51.92639999999851,0,1,animal accepted but quit before outcome revealed
5,51.962982400000094,20,1,52.15956480000168,52.26027520000189,1,,0,54.13149440000206,,54.13149440000206,54.398630400002006,1,1,animal accepted but quit before outcome revealed
6,54.41566719999909,0,2,54.68070399999618,54.74673919999599,1,,0,58.649983999997374,,58.649983999997374,58.649983999997374,1,1,animal accepted but quit before outcome revealed
7,58.75261439999938,80,3,59.015718400001525,59.082534400001165,1,62.218111999996005,1,,63.19015680000186,63.19015680000186,69.63127040000259,1,1,"accepted, waited, rewarded, and collected"
8,69.64921599999815,80,4,69.98012160000205,70.07991039999574,1,,0,73.51585279999674,,73.51585279999674,73.7503999999985,1,1,animal accepted but quit before outcome revealed
9,73.78464000000059,80,1,74.0506752000004,74.15115519999712,1,77.22042880000174,1,,78.57198080000282,78.57198080000282,89.73512959999591,2,1,"accepted, waited, rewarded, and collected"
10,89.82103040000051,80,2,90.28769280000031,90.65400320000201,1,93.7907071999982,1,,94.95320319999755,94.95320319999755,99.66385920000076,2,1,"accepted, waited, rewarded, and collected"
11,99.66446079999953,80,3,99.96218879999965,100.06266879999637,1,103.14519039999693,1,,104.51420160000026,104.51420160000026,112.48011519999802,2,1,"accepted, waited, rewarded, and collected"
12,112.49551359999924,80,4,112.76108799999952,112.8307199999988,1,,0,113.69484799999744,,113.69484799999744,113.79551999999583,2,1,animal accepted but quit before outcome revealed
