,event_description,timestamp,event_code,restaurant
0,SHARP Accept R4,29.79982079999894,71,4
0,Enter R4,29.833190399996937,47,4
0,SHARP Entry R4,29.933247999995945,70,4
0,SHARP Accept R4,34.67201280000061,71,4
0,Quit R4,35.206054399996994,49,4
0,SHARP Exit R4,35.2389504000023,72,4
0,Mouse in offer zone 1,35.37377279999852,10,1
0,R1 no-reward tone,35.381516800001265,15,1
0,R1 0% offer,35.381555200003085,17,1
0,SHARP Entry R1,35.64262399999797,61,1
0,SHARP Accept R1,35.74045440000295,62,1
0,Enter R1,35.840358400002124,11,1
0,SHARP Accept R1,36.30819839999825,62,1
0,SHARP Accept R1,36.44154879999906,62,1
0,SHARP Accept R1,38.97745920000225,62,1
0,Quit R1,39.34481920000166,13,1
0,SHARP Exit R1,39.37777920000255,63,1
0,Mouse in hall 2,39.41209600000084,21,2
0,Reject R1,39.44602879999578,12,1
0,Servo 1 closed,39.44652799999714,2,1
0,Mouse in offer zone 2,39.46170880000293,22,2
0,Reject R1,39.46499840000272,12,1
0,Servo 1 closed,39.46522879999876,2,1
0,R2 reward tone,39.46920960000158,26,2
0,R2 100% offer,39.46924799999595,32,2
0,SHARP Entry R2,39.695475199997425,64,2
0,SHARP Accept R2,39.761369599998,65,2
0,Enter R2,39.86214400000125,23,2
0,SHARP Accept R2,40.56400639999658,65,2
0,Servo 2 open,40.869580799996854,3,2
0,R2 reward taken,42.6629504000023,28,2
0,SHARP Accept R2,45.603187200002374,65,2
0,SHARP Exit R2,45.97070080000162,66,2
0,Quit R2,45.970867200002075,25,2
0,Mouse in hall 3,46.0050047999993,33,3
0,Mouse in offer zone 3,46.070758400000635,34,3
0,Servo 2 closed,46.07242239999771,4,2
0,Reject R2,46.07244799999893,24,2
0,Servo 2 closed,46.07653119999915,4,2
0,Reject R2,46.07656960000098,24,2
0,R3 no-reward tone,46.08583680000156,39,3
0,R3 0% offer,46.085887999996544,41,3
0,SHARP Entry R3,46.2686080000028,67,3
0,SHARP Accept R3,46.36773120000213,68,3
0,Enter R3,46.46858240000159,35,3
0,SHARP Accept R3,48.071744000002745,68,3
0,SHARP Accept R3,48.93771519999951,68,3
0,Quit R3,49.13849599999934,37,3
0,SHARP Exit R3,49.170790399998424,69,3
0,Mouse in hall 4,49.23814400000125,45,4
0,Servo 3 closed,49.24108799999952,6,3
0,Reject R3,49.24116480000317,36,3
0,Servo 3 closed,49.27164159999788,6,3
0,Reject R3,49.271667199999094,36,3
0,Mouse in offer zone 4,49.28852480000258,46,4
0,R4 no-reward tone,49.295155199997126,51,4
0,R4 20% offer,49.29521920000017,54,4
0,SHARP Entry R4,49.521638399995865,70,4
0,SHARP Accept R4,49.58840320000053,71,4
0,Enter R4,49.6900095999986,47,4
0,SHARP Exit R4,50.32249599999935,72,4
0,SHARP Exit R4,50.65720319999755,72,4
0,SHARP Exit R4,50.92368639999628,72,4
0,SHARP Accept R4,51.72398080000281,71,4
0,SHARP Exit R4,51.858252800002695,72,4
0,Quit R4,51.85845759999752,49,4
0,Servo 4 closed,51.92636159999669,8,4
0,Reject R4,51.92639999999851,48,4
0,Mouse in offer zone 1,51.96003840000182,10,1
0,Servo 4 closed,51.960396799996495,8,4
0,Reject R4,51.96042239999771,48,4
0,R1 no-reward tone,51.96293119999766,15,1
0,R1 20% offer,51.962982400000094,18,1
0,SHARP Entry R1,52.15956480000168,61,1
0,SHARP Accept R1,52.26027520000189,62,1
0,Enter R1,52.326553599998356,11,1
0,SHARP Accept R1,52.525759999997916,62,1
0,SHARP Accept R1,53.92830719999969,62,1
0,SHARP Entry R1,54.13130240000039,61,1
0,Quit R1,54.13149440000206,13,1
0,SHARP Exit R1,54.32934399999678,63,1
0,Mouse in hall 2,54.36325119999796,21,2
0,Reject R1,54.398630400002006,12,1
0,Servo 1 closed,54.39907840000093,2,1
0,Mouse in offer zone 2,54.41456639999896,22,2
0,R2 no-reward tone,54.41562879999727,27,2
0,R2 0% offer,54.41566719999909,29,2
0,Reject R1,54.41570560000092,12,1
0,Servo 1 closed,54.4160895999968,2,1
0,SHARP Entry R2,54.68070399999618,64,2
0,SHARP Accept R2,54.74673919999599,65,2
0,Enter R2,54.880742399998006,23,2
0,SHARP Entry R2,54.91306239999831,64,2
0,SHARP Accept R2,55.447552000001075,65,2
0,SHARP Accept R2,56.480230399996046,65,2
0,Servo 2 closed,56.982515199996534,4,2
0,Reject R2,56.982566399998966,24,2
0,Servo 2 closed,58.1832704000026,4,2
0,Reject R2,58.18330879999697,24,2
0,SHARP Accept R2,58.34923520000279,65,2
0,SHARP Exit R2,58.64989440000057,66,2
0,Quit R2,58.649983999997374,25,2
0,Mouse in hall 3,58.68300800000131,33,3
0,Mouse in offer zone 3,58.749811200000345,34,3
0,R3 reward tone,58.752524800002575,38,3
0,R3 80% offer,58.75261439999938,43,3
0,SHARP Entry R3,59.015718400001525,67,3
0,SHARP Accept R3,59.082534400001165,68,3
0,Enter R3,59.216524800002574,35,3
