,event_description,timestamp,event_code,restaurant
0,SHARP Exit R4,239.50059520000218,72,4
0,SHARP Exit R4,239.66767360000313,72,4
0,SHARP Exit R4,239.96680960000307,72,4
0,SHARP Exit R4,240.03486720000208,72,4
0,Quit R4,240.3349760000035,49,4
0,SHARP Exit R4,240.93584640000014,72,4
0,SHARP Exit R4,241.0368512000069,72,4
0,SHARP Exit R4,241.40213760000466,72,4
0,SHARP Entry R4,241.60218879999965,70,4
0,SHARP Exit R4,241.9696256000027,72,4
0,Mouse in offer zone 1,242.2709248000011,10,1
0,R1 reward tone,242.32808960000426,14,1
0,R1 80% offer,242.33308160000294,19,1
0,SHARP Entry R1,242.63801600000264,61,1
0,SHARP Accept R1,242.9375488000065,62,1
0,Enter R1,243.10534400000424,11,1
0,SHARP Accept R3,243.28481280000508,68,3
0,SHARP Accept R1,243.8062336000055,62,1
0,SHARP Accept R1,243.90696960000693,62,1
0,SHARP Accept R1,243.9735424000025,62,1
0,SHARP Accept R1,244.27335680000485,62,1
0,SHARP Accept R1,244.4725888000056,62,1
0,SHARP Accept R1,244.64001280000062,62,1
0,SHARP Accept R1,245.0741632000059,62,1
0,SHARP Accept R1,245.27380480000377,62,1
0,SHARP Accept R1,245.34046720000356,62,1
0,SHARP Accept R1,245.54041600000113,62,1
0,SHARP Accept R1,245.8074752000049,62,1
0,SHARP Accept R1,246.04143360000103,62,1
0,SHARP Accept R1,246.10762240000068,62,1
0,Servo 1 open,246.1572736000046,1,1
0,SHARP Accept R1,246.37555200000108,62,1
0,SHARP Accept R1,246.44232960000633,62,1
0,SHARP Accept R1,246.6765952000022,62,1
0,SHARP Accept R1,246.84230400000513,62,1
0,SHARP Accept R1,247.0425856000036,62,1
0,SHARP Accept R1,247.2089856000021,62,1
0,SHARP Accept R1,247.3769088000059,62,1
0,SHARP Accept R1,247.577318400003,62,1
0,SHARP Accept R1,247.7100160000026,62,1
0,SHARP Accept R1,247.91114240000397,62,1
0,SHARP Accept R1,248.1130112000033,62,1
0,SHARP Accept R1,248.27832320000232,62,1
0,SHARP Accept R1,248.41068800000102,62,1
0,SHARP Accept R1,248.54415359999985,62,1
0,SHARP Accept R1,248.7449472000003,62,1
0,SHARP Accept R1,250.7796352000013,62,1
0,SHARP Accept R1,252.0156032000035,62,1
0,SHARP Accept R1,256.2538368000016,62,1
0,SHARP Entry R1,256.38805760000645,61,1
0,SHARP Accept R1,256.4537344000041,62,1
0,SHARP Accept R1,258.72295680000633,62,1
0,Quit R1,258.9573632000014,13,1
0,SHARP Exit R1,259.0227456,63,1
0,Mouse in hall 2,259.05621760000287,21,2
0,Reject R1,259.0902400000021,12,1
0,Servo 1 closed,259.09071360000223,2,1
0,Mouse in offer zone 2,259.13277440000326,22,2
0,Reject R1,259.1352704000026,12,1
0,Servo 1 closed,259.13608960000425,2,1
0,R2 reward tone,259.14128640000524,26,2
0,R2 80% offer,259.141376000002,31,2
0,SHARP Entry R2,259.5010560000017,64,2
0,SHARP Accept R2,259.5999104000032,65,2
0,Enter R2,259.8006400000006,23,2
0,SHARP Accept R2,260.30037760000675,65,2
0,SHARP Accept R2,260.3674368000031,65,2
0,SHARP Accept R2,261.1010175999999,65,2
0,SHARP Accept R2,261.5352704000026,65,2
0,SHARP Accept R2,262.40272640000285,65,2
0,Servo 2 open,262.82538240000605,3,2
0,SHARP Accept R2,263.70449920000135,65,2
0,SHARP Accept R2,264.004518400006,65,2
0,SHARP Accept R2,264.2063104000017,65,2
0,SHARP Accept R2,265.00710400000213,65,2
0,SHARP Accept R2,267.0420351999998,65,2
0,SHARP Accept R2,267.74277120000124,65,2
0,SHARP Accept R2,272.0469504000023,65,2
0,SHARP Accept R2,272.4476032000035,65,2
0,SHARP Accept R2,272.64880640000104,65,2
0,SHARP Accept R2,279.3226623999998,65,2
0,SHARP Accept R2,283.8612480000034,65,2
0,SHARP Accept R2,283.96070400000366,65,2
0,SHARP Accept R2,284.16175360000136,65,2
0,SHARP Accept R2,284.2277631999999,65,2
0,SHARP Accept R2,284.92874240000543,65,2
0,SHARP Accept R2,285.06209280000627,65,2
0,SHARP Accept R2,285.1288960000053,65,2
0,SHARP Accept R2,285.19610880000147,65,2
0,SHARP Accept R2,285.4297344000041,65,2
0,SHARP Accept R2,285.662515200004,65,2
0,SHARP Accept R2,285.8632192000002,65,2
0,SHARP Accept R2,285.96294400000573,65,2
0,SHARP Accept R2,286.0962944000065,65,2
0,SHARP Accept R2,286.19623680000007,65,2
0,SHARP Accept R2,286.26398720000685,65,2
0,SHARP Accept R2,286.4633856000006,65,2
0,SHARP Accept R2,286.6637056000009,65,2
0,SHARP Accept R2,286.8307584000006,65,2
0,SHARP Accept R2,286.99729920000584,65,2
0,SHARP Accept R2,287.06429440000653,65,2
0,SHARP Accept R2,287.13136640000346,65,2
0,SHARP Accept R2,287.26440960000457,65,2
0,SHARP Accept R2,287.3988864000067,65,2
0,SHARP Accept R2,287.6653696000054,65,2
0,SHARP Accept R2,287.83243520000576,65,2
0,SHARP Accept R2,287.8994431999996,65,2
0,SHARP Accept R2,287.9994496000037,65,2
0,SHARP Accept R2,288.266060800001,65,2
0,SHARP Accept R2,288.53239039999994,65,2
0,SHARP Accept R2,288.63271680000423,65,2
0,SHARP Accept R2,288.79944960000364,65,2
0,SHARP Accept R2,288.9339648000002,65,2
0,SHARP Accept R2,289.0664320000038,65,2
0,SHARP Accept R2,289.20102400000394,65,2
0,SHARP Accept R2,289.33409280000626,65,2
0,SHARP Accept R2,289.40092160000654,65,2
0,SHARP Accept R2,289.73598720000683,65,2
0,SHARP Accept R2,289.86780160000177,65,2
0,SHARP Accept R2,290.0362368000001,65,2
0,SHARP Accept R2,290.20209920000286,65,2
0,SHARP Accept R2,290.4028800000027,65,2
0,SHARP Accept R2,290.5023360000029,65,2
0,SHARP Accept R2,290.5693568000048,65,2
0,SHARP Accept R2,290.7023232000023,65,2
0,SHARP Accept R2,290.9355904000029,65,2
0,SHARP Accept R2,291.03535360000285,65,2
0,SHARP Accept R2,291.26906880000234,65,2
0,SHARP Accept R2,291.33648640000075,65,2
0,SHARP Accept R2,291.4693632000014,65,2
0,SHARP Accept R2,291.76949760000406,65,2
0,SHARP Accept R2,292.0370304000005,65,2
0,SHARP Accept R2,292.1706623999998,65,2
0,SHARP Accept R2,292.6375424000025,65,2
0,SHARP Accept R2,292.70394880000504,65,2
0,SHARP Accept R2,292.804006400004,65,2
0,SHARP Accept R2,292.9045632000044,65,2
0,SHARP Accept R2,292.97213440000263,65,2
0,SHARP Accept R2,293.2050175999999,65,2
0,SHARP Accept R2,293.30487040000406,65,2
0,SHARP Accept R2,293.3726208000034,65,2
0,SHARP Accept R2,293.47240960000454,65,2
0,SHARP Accept R2,293.6380288000032,65,2
0,SHARP Accept R2,293.77192960000036,65,2
0,SHARP Accept R2,294.0058112000003,65,2
0,SHARP Accept R2,294.0728576000035,65,2
0,SHARP Accept R2,294.20550400000064,65,2
0,SHARP Accept R2,294.339942400001,65,2
0,SHARP Accept R2,294.40601600000264,65,2
0,SHARP Accept R2,294.6399104000032,65,2
0,SHARP Accept R2,295.40711680000277,65,2
0,SHARP Accept R2,295.6413824000061,65,2
0,SHARP Accept R2,296.0078464000002,65,2
0,SHARP Accept R2,296.24111360000074,65,2
0,SHARP Accept R2,296.34142720000443,65,2
0,SHARP Accept R2,316.0647807999998,65,2
0,R2 reward taken,323.88540160000326,28,2
0,SHARP Accept R2,324.64115200000253,65,2
0,Quit R2,324.9076480000019,25,2
0,SHARP Exit R2,324.94064640000465,66,2
0,Mouse in hall 3,324.9755008000061,33,3
0,Servo 2 closed,325.1085312000066,4,2
0,Reject R2,325.1085568000004,24,2
0,Mouse in offer zone 3,325.1113728,34,3
0,Servo 2 closed,325.11348480000345,4,2
0,Reject R2,325.11349760000405,24,2
0,R3 reward tone,325.1187840000018,38,3
0,R3 80% offer,325.1188224000037,43,3
0,SHARP Entry R3,325.44495360000434,67,3
0,SHARP Entry R3,325.51217920000107,67,3
0,SHARP Exit R3,325.61203200000523,69,3
0,SHARP Entry R3,325.61212160000207,67,3
0,SHARP Exit R3,325.6783488000035,69,3
0,SHARP Accept R3,325.91292160000654,68,3
0,SHARP Exit R3,326.0456832000017,69,3
0,Enter R3,326.1797888000011,35,3
0,SHARP Entry R3,326.64675840000064,67,3
0,SHARP Entry R3,327.44692480000106,67,3
0,SHARP Entry R3,327.54772480000554,67,3
0,SHARP Entry R3,327.681203200005,67,3
0,SHARP Entry R3,327.74796800000223,67,3
0,SHARP Exit R3,327.91418879999964,69,3
0,SHARP Exit R3,328.1150208000019,69,3
0,SHARP Entry R3,328.2145408000052,67,3
0,SHARP Exit R3,328.2492160000056,69,3
0,SHARP Exit R3,328.3150976000056,69,3
0,SHARP Entry R3,328.41635840000214,67,3
0,SHARP Exit R3,328.5159552000016,69,3
0,Servo 3 open,329.2059008000046,5,3
0,SHARP Exit R3,329.28216320000587,69,3
0,SHARP Exit R3,329.4834688000008,69,3
0,SHARP Exit R3,329.6504448000044,69,3
0,SHARP Entry R3,330.9183616000041,67,3
0,SHARP Entry R3,331.9534848000035,67,3
0,SHARP Accept R3,332.0194944000021,68,3
0,SHARP Accept R3,332.2525824000016,68,3
0,SHARP Entry R3,332.31985920000074,67,3
0,SHARP Entry R3,336.55782400000095,67,3
0,SHARP Accept R3,337.15887360000613,68,3
0,SHARP Accept R3,346.5354240000024,68,3
0,SHARP Accept R3,347.60414720000324,68,3
0,SHARP Accept R3,348.03751680000124,68,3
0,R3 reward taken,430.14807040000704,40,3
0,SHARP Accept R3,562.7826944000051,68,3
0,SHARP Exit R3,563.1159167999998,69,3
0,Quit R3,563.1496064000055,37,3
0,Mouse in hall 4,563.250393600002,45,4
0,Servo 3 closed,563.2537216000036,6,3
0,Reject R3,563.2537856000066,36,3
0,Servo 3 closed,563.3170432000011,6,3
0,Reject R3,563.3170560000017,36,3
0,Mouse in offer zone 4,563.401318400003,46,4
0,R4 reward tone,563.4143360000029,50,4
0,R4 100% offer,563.4144128000065,56,4
0,SHARP Exit R4,563.8014848000034,72,4
0,SHARP Entry R4,563.8334976000041,70,4
0,SHARP Exit R4,563.9013632000015,72,4
0,SHARP Accept R4,563.967027200006,71,4
0,SHARP Exit R4,564.2349440000057,72,4
0,SHARP Exit R4,564.4011776000037,72,4
0,Enter R4,564.5008384000063,47,4
0,Servo 4 open,565.5108480000049,7,4
0,SHARP Exit R4,573.1108480000049,72,4
0,R4 reward taken,573.1887616000026,52,4
0,SHARP Exit R4,573.9112320000007,72,4
0,SHARP Exit R4,574.0453888000027,72,4
0,SHARP Exit R4,574.4827392000035,72,4
0,SHARP Exit R4,574.5790208000019,72,4
0,SHARP Exit R4,574.8128512000069,72,4
0,SHARP Exit R4,575.6798464000002,72,4
0,SHARP Exit R4,576.147891200006,72,4
0,SHARP Exit R4,576.2811008000001,72,4
0,SHARP Exit R4,576.6818048000038,72,4
0,SHARP Exit R4,576.7479167999998,72,4
0,SHARP Exit R4,576.9828480000049,72,4
0,SHARP Exit R4,577.0489728000015,72,4
0,SHARP Exit R4,577.2818688000068,72,4
0,SHARP Exit R4,577.3489408000037,72,4
0,SHARP Exit R4,577.4485632000044,72,4
0,SHARP Exit R4,577.6486528000012,72,4
0,SHARP Exit R4,577.7488128000051,72,4
0,SHARP Exit R4,578.1829632000029,72,4
0,SHARP Exit R4,578.3837440000027,72,4
0,SHARP Exit R4,578.4835328000039,72,4
0,SHARP Exit R4,578.6832128000036,72,4
0,SHARP Exit R4,578.816755200006,72,4
0,SHARP Exit R4,578.9502080000043,72,4
0,SHARP Exit R4,579.6856447999999,72,4
0,SHARP Exit R4,580.051712000005,72,4
0,SHARP Exit R4,580.1850624000058,72,4
0,SHARP Exit R4,580.2518784000054,72,4
0,SHARP Exit R4,581.1533568000049,72,4
0,SHARP Exit R4,581.2546944000051,72,4
0,SHARP Exit R4,581.420518400006,72,4
0,SHARP Exit R4,582.2544128000065,72,4
0,SHARP Exit R4,582.3547776000053,72,4
0,SHARP Exit R4,582.5884800000042,72,4
0,SHARP Accept R4,586.393433600001,71,4
0,SHARP Accept R4,586.7592448000014,71,4
0,SHARP Accept R4,586.8595968000069,71,4
0,SHARP Accept R4,587.5270527999998,71,4
0,SHARP Accept R4,587.5934720000029,71,4
0,SHARP Accept R4,587.6941184,71,4
0,SHARP Accept R4,587.9606784000024,71,4
0,SHARP Accept R4,588.0943616000042,71,4
0,SHARP Accept R4,588.2943360000029,71,4
0,SHARP Accept R4,588.8283648000062,71,4
0,SHARP Accept R4,588.9282944000065,71,4
0,SHARP Exit R4,589.695833600007,72,4
0,SHARP Exit R4,589.862694400005,72,4
0,SHARP Accept R4,590.0632320000008,71,4
0,SHARP Exit R4,590.0966784000025,72,4
0,SHARP Exit R4,591.6649472000003,72,4
0,SHARP Exit R4,591.7324032000005,72,4
0,SHARP Exit R4,592.8329216000066,72,4
0,SHARP Exit R4,593.0008832000048,72,4
0,SHARP Exit R4,593.4345600000024,72,4
0,SHARP Exit R4,593.5674880000055,72,4
0,SHARP Exit R4,594.0008192000016,72,4
0,SHARP Exit R4,594.1355904000029,72,4
0,SHARP Exit R4,594.267827200003,72,4
0,SHARP Exit R4,594.3691776000038,72,4
0,SHARP Exit R4,594.635136,72,4
0,SHARP Exit R4,594.7027456000001,72,4
0,SHARP Exit R4,594.9359360000044,72,4
0,SHARP Exit R4,595.3027968000025,72,4
0,SHARP Exit R4,595.4697600000054,72,4
0,SHARP Exit R4,597.6385920000001,72,4
0,SHARP Exit R4,597.7051648000032,72,4
0,SHARP Accept R4,598.3389312000052,71,4
0,SHARP Accept R4,601.1755776000023,71,4
0,SHARP Accept R4,602.4438528000042,71,4
0,SHARP Accept R4,603.5445888000056,71,4
0,SHARP Exit R4,604.2461952000037,72,4
0,SHARP Exit R4,604.4791680000052,72,4
0,SHARP Exit R4,604.579379200004,72,4
0,SHARP Exit R4,605.013196800001,72,4
0,SHARP Exit R4,605.2482048000023,72,4
0,Quit R4,605.3514752000049,49,4
0,Mouse in offer zone 1,605.5179264000058,10,1
0,Servo 4 closed,605.5183872000053,8,4
0,Reject R4,605.518400000006,48,4
0,Servo 4 closed,605.5187456,8,4
0,Reject R4,605.5187584000006,48,4
0,R1 no-reward tone,605.5204480000064,15,1
0,R1 0% offer,605.520512000002,17,1
0,SHARP Entry R1,605.8505344000012,61,1
0,SHARP Accept R1,606.0843392000049,62,1
0,Enter R1,606.2513408000023,11,1
0,SHARP Accept R1,606.5183232000023,62,1
0,SHARP Entry R1,610.2226688000038,61,1
0,SHARP Entry R1,610.3886208000034,61,1
0,R1 no-reward tone,613.2579200000018,15,1
0,SHARP Entry R1,614.6627968000024,61,1
0,SHARP Entry R1,615.2277888000011,61,1
0,SHARP Entry R1,615.4286208000034,61,1
0,SHARP Entry R1,615.5286528000012,61,1
0,SHARP Entry R1,615.8292480000034,61,1
0,SHARP Entry R1,616.2959360000044,61,1
0,SHARP Entry R1,618.1653888000027,61,1
0,SHARP Entry R1,618.5320832000002,61,1
0,SHARP Entry R1,619.3331200000048,61,1
0,SHARP Entry R1,619.5665280000046,61,1
0,SHARP Entry R1,620.6003071999996,61,1
0,SHARP Entry R1,621.1355136000067,61,1
0,SHARP Entry R1,621.2018432000056,61,1
0,SHARP Entry R1,622.8033408000022,61,1
0,SHARP Accept R1,625.8402688000053,62,1
0,Quit R1,627.4093696000054,13,1
0,SHARP Exit R1,627.4746496000066,63,1
0,Mouse in hall 2,627.7425792000071,21,2
0,SHARP Accept R1,627.8101376000046,62,1
0,SHARP Accept R1,627.975948800005,62,1
0,SHARP Accept R1,628.0759936000035,62,1
0,Reject R1,628.3114624000043,12,1
0,Servo 1 closed,628.3120256000012,2,1
0,Mouse in offer zone 2,628.3876096000001,22,2
0,R2 no-reward tone,628.3890688000023,27,2
0,R2 0% offer,628.3891072000041,29,2
0,Reject R1,628.3891584000066,12,1
0,Servo 1 closed,628.3895168000013,2,1
0,SHARP Entry R2,629.054400000006,64,2
0,SHARP Accept R2,629.1541120000035,65,2
